mode,seed,a_target,median_abs_log10_err_corrected,mean_r_corr,delta_rms,v_rms,sigma8_measured,sigma8_from_ref,sigma8_expected
legacy,42,0.0200,3.544397e-02,1.034419e+00,0.000000e+00,3.875860e-08,7.884283e-01,7.754207e-01,8.000000e-01
legacy,42,0.0500,6.206567e+00,3.830226e+06,1.026504e+00,2.655747e+00,3.298470e+03,1.942349e+00,2.003918e+00
legacy,42,0.1000,5.637056e+00,6.163510e+05,1.010021e+00,3.807938e+00,2.710646e+03,3.876347e+00,3.999219e+00
z0_sigma8,42,0.0200,3.544408e-02,1.034419e+00,0.000000e+00,9.849601e-10,2.003601e-02,1.970546e-02,2.033008e-02
z0_sigma8,42,0.0500,9.371112e+00,4.910772e+09,1.022632e+00,2.734013e+00,3.036686e+03,4.936015e-02,5.092477e-02
z0_sigma8,42,0.1000,8.763306e+00,5.909680e+08,1.002134e+00,3.618323e+00,2.161535e+03,9.850806e-02,1.016306e-01
legacy,137,0.0200,1.468819e-02,9.662173e-01,0.000000e+00,3.577938e-08,7.702986e-01,7.754207e-01,8.000000e-01
legacy,137,0.0500,6.239908e+00,2.771479e+06,1.020571e+00,1.654051e+00,2.837797e+03,1.942349e+00,2.003918e+00
legacy,137,0.1000,5.629882e+00,4.898817e+05,1.007570e+00,1.996588e+00,2.431479e+03,3.876347e+00,3.999219e+00
z0_sigma8,137,0.0200,1.468921e-02,9.662153e-01,0.000000e+00,9.092408e-10,1.957528e-02,1.970546e-02,2.033008e-02
z0_sigma8,137,0.0500,9.224492e+00,2.158183e+09,1.000549e+00,2.149246e+00,2.085936e+03,4.936015e-02,5.092477e-02
z0_sigma8,137,0.1000,8.633300e+00,5.595106e+08,9.989313e-01,2.157132e+00,2.118905e+03,9.850806e-02,1.016306e-01
legacy,271,0.0200,5.546728e-02,1.036661e+00,0.000000e+00,3.576682e-08,8.107287e-01,7.754207e-01,8.000000e-01
legacy,271,0.0500,6.221063e+00,2.026203e+06,1.014182e+00,1.429038e+00,2.464640e+03,1.942349e+00,2.003918e+00
legacy,271,0.1000,5.601174e+00,4.114099e+05,9.922183e-01,1.565563e+00,2.265895e+03,3.876347e+00,3.999219e+00
z0_sigma8,271,0.0200,5.546718e-02,1.036661e+00,0.000000e+00,9.089297e-10,2.060274e-02,1.970546e-02,2.033008e-02
z0_sigma8,271,0.0500,9.403654e+00,4.870106e+09,1.018895e+00,3.141506e+00,2.993057e+03,4.936015e-02,5.092477e-02
z0_sigma8,271,0.1000,8.626367e+00,5.473979e+08,1.003655e+00,4.054114e+00,2.103277e+03,9.850806e-02,1.016306e-01
