n,seed,mode,a_target,a_actual,p_shot_mpc_h3,s_n_at_kmin,s_n_min,median_abs_log10_err_corrected,mean_r_corr,std_r_corr,cv_r_corr,delta_rms
32,42,legacy,0.02,0.02,30.517578125,579.7490710934132,20.559964149577254,0.035443965173767876,1.0344189591697917,0.11424744508904044,0.11044600843427468,0.0
32,42,legacy,0.05,0.05010025762297841,30.517578125,56200837932.002304,443271395.8176075,6.206566875686006,3830226.4036482726,5959489.200577215,1.5559104273577222,1.0265042316035526
32,42,legacy,0.1,0.10001930123040292,30.517578125,25607774008.11868,389821401.387493,5.6370558235730925,616350.9767037801,634467.2186017145,1.0293927365781415,1.0100205946229512
32,42,z0_sigma8,0.02,0.02,30.517578125,0.37440401550710545,0.013277575987918044,0.03544407919703014,1.0344185533775345,0.11425000301681679,0.11044852457815367,0.0
32,42,z0_sigma8,0.05,0.05010025762297841,30.517578125,42075673114.24631,399919757.7836653,9.37111234355267,4910771663.678333,6754285465.644767,1.375402060658137,1.0226320781138738
32,42,z0_sigma8,0.1,0.10001930123040292,30.517578125,4501177127.564774,417476330.4327688,8.76330572020272,590967989.2698809,329242109.40480196,0.5571234235742082,1.0021339535897884
32,137,legacy,0.02,0.02,30.517578125,362.67011332097746,19.485286855950015,0.01468819028139252,0.9662172612718158,0.0845036251750202,0.08745820278949423,0.0
32,137,legacy,0.05,0.05010025762297841,30.517578125,32479148009.828068,412040912.2787456,6.239908486192146,2771478.891634912,3308239.529165055,1.1936730022192248,1.020570889946529
32,137,legacy,0.1,0.10001930123040292,30.517578125,12738848616.716824,417440353.5671983,5.629881742103112,489881.655931329,317289.39468787564,0.6476858050229847,1.00757022281638
32,137,z0_sigma8,0.02,0.02,30.517578125,0.23420943182375747,0.012583546032965322,0.014689209684426049,0.9662153268818365,0.08450744551125303,0.08746233180131273,0.0
32,137,z0_sigma8,0.05,0.05010025762297841,30.517578125,738655352.395816,421025161.6898214,9.224492292659745,2158183413.479899,1501256379.1324985,0.6956111189418521,1.0005491656148138
32,137,z0_sigma8,0.1,0.10001930123040292,30.517578125,821507578.8822018,408427420.0366293,8.633300317821577,559510644.1747699,386815637.1131686,0.6913463419157797,0.998931313720443
32,271,legacy,0.02,0.02,30.517578125,268.15463665279464,21.427628048230208,0.055467280519449935,1.036660609216489,0.20727545873809705,0.19994534073669148,0.0
32,271,legacy,0.05,0.05010025762297841,30.517578125,14739761646.519224,442110277.349405,6.221063161511182,2026203.2401850938,1447894.077489629,0.7145848199104468,1.0141816667269232
32,271,legacy,0.1,0.10001930123040292,30.517578125,6666656103.678336,397223544.3061982,5.601173655868198,411409.9425138666,202650.20925097118,0.49257489503706114,0.9922182573972824
32,271,z0_sigma8,0.02,0.02,30.517578125,0.17317447637217126,0.013837885685137668,0.05546717827935463,1.0366612925245309,0.2072758276486503,0.1999455648082331,0.0
32,271,z0_sigma8,0.05,0.05010025762297841,30.517578125,41867645176.80954,403106804.3437302,9.403653568857365,4870106312.459196,6771590560.8274145,1.390439987624839,1.0188949762641142
32,271,z0_sigma8,0.1,0.10001930123040292,30.517578125,1764472731.948975,408173058.07992613,8.62636658965329,547397910.0515211,334953511.5785452,0.6119013343456489,1.0036554282969827
64,42,legacy,0.02,0.02,3.814697265625,3415.0727414473185,36.9641952387811,0.023044228694849442,0.9862797218531265,0.09587574801065117,0.09720948924156089,0.0
64,42,legacy,0.05,0.05010025762297841,3.814697265625,2470522401001189.0,834500684625.9536,9.190480396777282,8812855044.911985,25475224802.37405,2.8906891889799002,1.0950849832800509
64,42,legacy,0.1,0.10001930123040292,3.814697265625,265797797079848.12,837351633317.8525,8.490319262455651,497589292.1947477,662967214.1039892,1.3323582812238564,1.0093102968813037
64,42,z0_sigma8,0.02,0.02,3.814697265625,2.205455486611593,0.02387148946829316,0.023044225102481334,0.986279716774164,0.09587573256709031,0.09720947408375398,0.0
