variant,eps_physical_mpc_h,a_target,a_actual,delta_rms,v_rms,median_abs_log10_err_corrected,growth_ratio_low_k,growth_theory_d_sq,growth_rel_err
pm_eps0,0.0000,0.0200,0.020000,0.000000e+00,2.109145e-11,2.304423e-02,1.000000e+00,1.000000e+00,0.000000e+00
pm_eps0,0.0000,0.0500,0.050100,1.033607e+00,2.197958e+00,1.226621e+01,2.286261e+14,6.249428e+00,3.658353e+13
pm_eps0,0.0000,0.1000,0.100019,1.030491e+00,4.008562e+00,1.166331e+01,1.958039e+14,2.498061e+01,7.838236e+12
treepm_eps001,0.0100,0.0200,0.020000,0.000000e+00,2.109145e-11,2.304423e-02,1.000000e+00,1.000000e+00,0.000000e+00
treepm_eps001,0.0100,0.0500,0.050100,1.001174e+00,1.101996e+01,1.217698e+01,7.878574e+11,6.249428e+00,1.260687e+11
treepm_eps001,0.0100,0.1000,0.100019,9.994429e-01,1.128501e+01,1.156293e+01,5.665868e+11,2.498061e+01,2.268107e+10
treepm_eps002,0.0200,0.0200,0.020000,0.000000e+00,2.109145e-11,2.304423e-02,1.000000e+00,1.000000e+00,0.000000e+00
treepm_eps002,0.0200,0.0500,0.050100,9.979876e-01,9.213605e+00,1.220877e+01,7.970514e+11,6.249428e+00,1.275399e+11
treepm_eps002,0.0200,0.1000,0.100019,9.995383e-01,9.355009e+00,1.157648e+01,6.607260e+11,2.498061e+01,2.644956e+10
treepm_eps005,0.0500,0.0200,0.020000,0.000000e+00,2.109145e-11,2.304423e-02,1.000000e+00,1.000000e+00,0.000000e+00
treepm_eps005,0.0500,0.0500,0.050100,1.001113e+00,6.469793e+00,1.217607e+01,7.794792e+11,6.249428e+00,1.247281e+11
treepm_eps005,0.0500,0.1000,0.100019,1.001963e+00,6.513068e+00,1.156185e+01,6.364698e+11,2.498061e+01,2.547855e+10
