distribution,a_plummer,a_over_eps,order,softened,theta,mean_err,max_err,p95_err,rms_err,mean_angular_err,max_angular_err,time_bh_ms
plummer_a005,0.050,1.00,1,0,0.50,1.243716e-2,2.288338e-2,1.699080e-2,1.264805e-2,5.742356e-6,2.292177e-5,12.518
plummer_a005,0.050,1.00,2,0,0.50,1.317304e-1,9.934597e-1,4.475809e-1,1.953818e-1,1.208421e-2,6.019448e-1,12.803
plummer_a005,0.050,1.00,3,0,0.50,1.321783e-1,9.977731e-1,4.479859e-1,1.959121e-1,1.216585e-2,6.080120e-1,13.603
plummer_a005,0.050,1.00,2,1,0.50,1.105181e-2,1.816515e-2,1.440708e-2,1.120260e-2,9.778193e-7,1.338583e-5,12.700
plummer_a005,0.050,1.00,3,1,0.50,1.104704e-2,1.817517e-2,1.441630e-2,1.119746e-2,9.800105e-7,1.347298e-5,13.058
plummer_a010,0.100,2.00,1,0,0.50,1.128353e-2,3.477820e-2,1.894599e-2,1.214038e-2,9.681653e-6,1.989052e-4,8.200
plummer_a010,0.100,2.00,2,0,0.50,3.753627e-2,2.823738e-1,1.085242e-1,5.059660e-2,7.859588e-4,2.127811e-2,8.861
plummer_a010,0.100,2.00,3,0,0.50,3.756775e-2,2.772440e-1,1.090766e-1,5.057134e-2,7.905734e-4,2.279589e-2,9.306
plummer_a010,0.100,2.00,2,1,0.50,9.392840e-3,2.225895e-2,1.266670e-2,9.625856e-3,2.292222e-6,1.653084e-4,8.754
plummer_a010,0.100,2.00,3,1,0.50,9.454984e-3,2.254903e-2,1.265451e-2,9.687643e-3,2.383561e-6,1.722698e-4,9.461
plummer_a030,0.300,6.00,1,0,0.50,7.990938e-3,4.670083e-2,1.464487e-2,9.178865e-3,1.937808e-5,2.744066e-4,7.421
plummer_a030,0.300,6.00,2,0,0.50,1.280437e-2,8.941531e-2,3.258561e-2,1.691919e-2,7.572317e-5,2.170911e-3,7.806
plummer_a030,0.300,6.00,3,0,0.50,1.279850e-2,8.835144e-2,3.244353e-2,1.691978e-2,7.653702e-5,2.248110e-3,8.338
plummer_a030,0.300,6.00,2,1,0.50,4.409231e-3,1.593478e-2,8.099606e-3,4.910482e-3,1.518274e-6,3.014346e-5,7.945
plummer_a030,0.300,6.00,3,1,0.50,4.414885e-3,1.610111e-2,8.154168e-3,4.919307e-3,1.595892e-6,2.872606e-5,8.458
plummer_a100,1.000,20.00,1,0,0.50,9.044690e-3,4.824559e-2,2.174028e-2,1.148796e-2,4.436210e-5,9.774431e-4,8.338
plummer_a100,1.000,20.00,2,0,0.50,4.267062e-3,7.058548e-2,1.690091e-2,8.813965e-3,2.201908e-5,1.729566e-3,8.915
plummer_a100,1.000,20.00,3,0,0.50,4.444665e-3,7.138475e-2,1.760991e-2,8.940994e-3,2.277708e-5,1.754741e-3,9.366
plummer_a100,1.000,20.00,2,1,0.50,1.808524e-3,3.561424e-2,4.331643e-3,2.677509e-3,2.043969e-6,4.365840e-4,8.859
plummer_a100,1.000,20.00,3,1,0.50,2.031174e-3,3.967717e-2,4.996802e-3,2.989270e-3,2.652883e-6,5.802801e-4,9.262
uniform_sphere,0.000,0.00,1,0,0.50,6.530693e-3,2.937345e-2,1.666241e-2,8.096205e-3,2.139256e-5,3.307492e-4,8.041
uniform_sphere,0.000,0.00,2,0,0.50,2.902543e-3,8.107570e-2,1.108978e-2,7.696949e-3,2.183863e-5,3.291939e-3,8.261
uniform_sphere,0.000,0.00,3,0,0.50,3.094061e-3,8.059483e-2,1.091849e-2,7.707176e-3,2.171453e-5,3.252943e-3,9.079
uniform_sphere,0.000,0.00,2,1,0.50,1.306762e-3,6.768437e-3,3.739508e-3,1.712375e-3,9.642068e-7,2.279180e-5,8.415
uniform_sphere,0.000,0.00,3,1,0.50,1.545303e-3,7.104283e-3,4.277696e-3,1.998881e-3,1.324491e-6,2.342612e-5,8.936
