distribution,N,variant,mean_err,max_err,p95_err,rms_err,mean_angular_err,max_angular_err,time_bh_ms,opened_nodes,mean_depth,dE_rel_final,dE_rel_max,dE_rel_mean,dp_rel_max,dL_rel_max,total_wall_s,mean_step_wall_s,Q_virial_final,r_hm_final,r_hm_init
plummer_a1,200,V1_geom_bare,0.1359199,2.496479,0.3962399,0.2554223,0.01140954,0.4445857,0.723,7468,3.645,0.4192772243331867,0.4229368382519546,0.2792479498665127,1.0000000000000044,1.356328407392115,1.489999719,0.001475882001,0.3604378147832217,1.118055755515735,0.0654815524233043
plummer_a1,200,V2_geom_soft,0.009384652,0.01435094,0.01328129,0.009565509,1.919879e-06,3.101609e-05,0.707,7468,3.645,0.4186590629751576,0.4186590629751576,0.2782111350914861,1.0000000000001792,0.7317220361710791,1.516595807,0.001502247359,0.3273458926601001,0.704412884919218,0.0647103292782439
plummer_a1,200,V3_rel_bare,4.574875e-06,3.879278e-05,2.819931e-05,9.506274e-06,2.319773e-11,2.860489e-10,2.156,31512,5.156,0.4075974427462775,0.4129740856301651,0.2855403397455405,1.0000000000265876,0.0574433055331423,2.238174434,0.002221829377,0.3415608227790859,1.0186750033523722,0.0637064824504498
plummer_a1,200,V4_rel_soft,1.586559e-06,8.471162e-06,6.952103e-06,2.81492e-06,1.884171e-13,1.383893e-12,2.097,31512,5.156,0.4370290837704156,0.4370290837704156,0.2774636064148207,1.0000000001251894,0.0235592493186647,2.205930413,0.002190178456,0.3084724573549115,1.0751051069302413,0.0637063980113504
plummer_a1,200,V5_rel_soft_consistent,2.610352e-05,4.597808e-05,4.098557e-05,2.829864e-05,5.845879e-11,3.437334e-10,2.175,27990,5.012,0.4686628905159151,0.4686628905159151,0.2928043768151976,1.0000000000236398,0.0716495222318073,2.328754265,0.002311450637,0.33377864885458,1.029325277386393,0.0637053302752756
plummer_a2,200,V1_geom_bare,0.03914578,0.2371554,0.124908,0.05605034,0.0007391463,0.01985484,0.665,6313,3.27,0.4144843959923546,0.4144843959923546,0.2639288045466531,1.000000000000058,0.6782325869333331,1.505042384,0.001491575322,0.3199727980656803,0.2454509523822164,0.0574336274767965
plummer_a2,200,V2_geom_soft,0.007997814,0.01951262,0.01147031,0.008298219,2.46402e-06,3.636195e-05,0.657,6313,3.27,0.3877181632506877,0.3896402773933436,0.2670482096184993,0.9999999999999918,0.2411315212730953,1.485826078,0.001471348892,0.3091464414015185,0.0968822386116289,0.0590476164778454
plummer_a2,200,V3_rel_bare,7.841483e-06,2.7642e-05,2.137527e-05,1.056454e-05,3.589736e-11,2.103109e-10,1.953,28355,4.776,0.3686307557010278,0.3686307557010278,0.2225021014846215,1.0000000000033749,0.0079851800256631,2.327105524,0.002310588808,0.3187361412179685,0.0851915266313552,0.0602941503736188
plummer_a2,200,V4_rel_soft,3.912499e-06,9.67484e-06,8.197856e-06,4.810634e-06,2.257072e-12,1.070477e-11,1.923,28355,4.776,0.4138695950735953,0.4138909371274095,0.2560975032958955,1.0000000002288711,0.0118938904793001,2.29013806,0.002274041782,0.2992394441343015,0.0793740572091821,0.0602940007454245
plummer_a2,200,V5_rel_soft_consistent,1.01945e-05,2.028133e-05,1.692198e-05,1.13439e-05,1.899601e-11,1.90562e-10,2.023,26862,4.715,0.3649231532687318,0.3649231532687318,0.2300312530137178,1.000000000009268,0.0022870756676479,2.463992982,0.002447874465,0.3075568054473003,0.1178443540738957,0.060293516830123
