step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,1.4726215563702176,4.061942388251486e-16,0.0012763472126695007,0.0,0.0,0.0,0.0,,,,,,
1,1.3742512431597376,6.115476739739897e-07,0.0012763459379208444,6.115476736290036e-07,2.166498377669924e-08,0.9999999994358804,1.697420855519916e-05,,,,,,
2,1.3362367964066135,6.244579132432161e-07,0.0012763456132244535,6.244579128679833e-07,2.2385181154581292e-08,0.9999999993991062,1.7538473020803113e-05,,,,,,
3,1.5564320913941065,5.308505701783113e-07,0.0012763456096777119,5.308505697761543e-07,2.301458060664731e-08,0.9999999992424291,1.803159859495595e-05,,,,,,
4,1.6610091398637075,4.209554382950151e-07,0.0012763455766493141,4.2095543788986925e-07,2.3839476488500807e-08,0.9999999990375564,1.8677892858511563e-05,,,,,,
5,1.41338493131708,3.941223554173541e-07,0.0012763451158112284,3.941223550865996e-07,2.360984361466042e-08,0.9999999991607822,1.8497978747710865e-05,,,,,,
6,1.199054346073482,6.27715731087014e-07,0.0012763447999416143,6.277157308606922e-07,2.3280430812146815e-08,0.9999999996394517,1.8239888473180758e-05,,,,,,
7,1.281124963908746,8.698209280484959e-07,0.001276345271158889,8.69820927848439e-07,2.3874629049159176e-08,0.9999999997700022,1.870543439290709e-05,,,,,,
8,1.5000716306801778,1.0630599220998264e-06,0.001276345521200485,1.0630599218933428e-06,2.491149343501327e-08,0.9999999998057649,1.9517802983179226e-05,,,,,,
9,1.5817054541234483,1.1005695943985029e-06,0.0012763438918863164,1.1005695941401377e-06,2.5757769553623048e-08,0.9999999997652441,2.0180848360024432e-05,,,,,,
10,1.462259498793598,9.92898168440937e-07,0.0012763431448796483,9.928981681416988e-07,2.6384391541058295e-08,0.9999999996986215,2.0671797829898432e-05,0.25,-5.5223967642537675,-4.0601372654601695,0.0,0.26478711349730244,0.05662901073064353
11,1.3602483983794316,7.482327242770885e-07,0.0012763437229080655,7.482327239531177e-07,2.7096162458531742e-08,0.9999999995670186,2.122946028287999e-05,,,,,,
12,1.3784129330509172,5.167524322630746e-07,0.0012763442035684087,5.167524319161896e-07,2.7346995806203397e-08,0.9999999993287212,2.1425984665259478e-05,,,,,,
13,1.4282479306996787,4.7448132129720033e-07,0.0012763444680734062,4.7448132099135526e-07,2.7399727564474376e-08,0.9999999993554118,2.146729925250309e-05,,,,,,
14,1.4293319888811824,5.317033080315088e-07,0.0012763443368671507,5.317033077730391e-07,2.7685028048153345e-08,0.9999999995138834,2.169082814875246e-05,,,,,,
15,1.4164762119749519,5.586906551090791e-07,0.0012763443648253722,5.586906548320991e-07,2.8200790762439692e-08,0.9999999995042337,2.2094920945106534e-05,,,,,,
16,1.4331157690885878,6.156868883866211e-07,0.001276344797819755,6.156868880779727e-07,2.855939671873918e-08,0.9999999994986927,2.237588364298359e-05,,,,,,
17,1.440179289669109,6.842233010389092e-07,0.0012763454898313182,6.842233006990112e-07,2.8595191876110136e-08,0.9999999995032353,2.2403928642820345e-05,,,,,,
18,1.4196005242880019,5.861353827942261e-07,0.0012763453463442368,5.861353824034117e-07,2.894135327999809e-08,0.9999999993332354,2.2675141209786315e-05,,,,,,
19,1.4189169935383066,5.012732731228172e-07,0.0012763449922295802,5.012732727389774e-07,2.9582283489291858e-08,0.9999999992342702,2.317730096924021e-05,,,,,,
