step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,1.4726215563702176,4.061942388251486e-16,0.0012763472126695007,0.0,0.0,0.0,0.0,,,,,,
1,1.3742588653269587,3.6413330666973276e-06,0.001276329884574825,3.6413330662995783e-06,2.938467325926495e-08,0.9999999998907683,2.3022476147228336e-05,,,,,,
2,1.3362489006865184,3.8272692804474555e-06,0.001276329353474894,3.827269280045274e-06,3.214876993386357e-08,0.9999999998949168,2.5188106821359297e-05,,,,,,
3,1.556443546060121,3.5223684182900854e-06,0.0012763276322954686,3.5223684178859605e-06,3.430467300938333e-08,0.999999999885269,2.687722640740881e-05,,,,,,
4,1.6610084319308271,2.9324230306208302e-06,0.0012763250160493793,2.9324230302269603e-06,3.781811480480219e-08,0.9999999998656844,2.962995839173339e-05,,,,,,
5,1.4133756025946997,2.3041643412222564e-06,0.001276322903229334,2.3041643408381172e-06,3.6764887326349326e-08,0.9999999998332848,2.88047695497019e-05,,,,,,
6,1.1990523497920944,2.5732272178266607e-06,0.0012763237856668927,2.573227217479304e-06,3.338478141909248e-08,0.9999999998650112,2.615650434905379e-05,,,,,,
7,1.281133578098571,3.0644857020801137e-06,0.001276325240520643,3.0644857017556662e-06,3.2839384381346724e-08,0.9999999998941266,2.5729193479149474e-05,,,,,,
8,1.5000836173846734,3.7576778349428073e-06,0.0012763266505454473,3.7576778346075724e-06,3.379384545112849e-08,0.9999999999107867,2.6477000236047148e-05,,,,,,
9,1.5817116490850969,4.4285368118457275e-06,0.0012763271774963137,4.428536811474695e-06,3.245503709928337e-08,0.9999999999162178,2.542806281638923e-05,,,,,,
10,1.4622592074050806,4.401185578850932e-06,0.0012763253012093583,4.4011855784643175e-06,3.3371751360214663e-08,0.9999999999121567,2.6146295482102484e-05,0.25,-5.522399716875317,-4.060140509470237,0.0,0.26478691916065356,0.05662788230038898
11,1.3602486606016841,3.726298496865209e-06,0.0012763242725693186,3.7262984964690384e-06,3.478231139029772e-08,0.9999999998936826,2.7251449327452172e-05,,,,,,
12,1.3784159441332933,3.1309358329209594e-06,0.0012763256989891177,3.1309358325288267e-06,3.300778064244765e-08,0.9999999998747554,2.586112956944635e-05,,,,,,
