step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,1.4726215563702156,3.2841557608924704e-16,0.0071623150518959405,0.0,0.0,0.0,0.0,,,,,,
1,1.4163781623083274,3.6140868469866187e-06,0.007162185699739686,3.6140868467036135e-06,1.4764996907835663e-07,0.9999999999216939,2.0614838639257028e-05,,,,,,
2,1.4028103294511642,3.575559589511178e-06,0.0071621964943490565,3.5755595892284206e-06,1.3719189246575248e-07,0.9999999999209194,1.915468552719366e-05,,,,,,
3,1.4917201042431871,3.6331307322009286e-06,0.007162197444159991,3.633130731905553e-06,1.4538446673342576e-07,0.9999999999186994,2.0298529969711533e-05,,,,,,
4,1.461898357219209,3.4687110488515377e-06,0.007162186930176813,3.4687110485340604e-06,1.5879781173602017e-07,0.999999999908474,2.2171296652747033e-05,,,,,,
5,1.236167557134688,2.899549653222071e-06,0.007162165943961996,2.8995496528980837e-06,1.6942379913595353e-07,0.9999999998882629,2.365489341202678e-05,,,,,,
6,1.170432411341461,2.5697106966314677e-06,0.007162151366147773,2.569710696310739e-06,1.7724383776247067e-07,0.9999999998751888,2.4746724554591096e-05,,,,,,
7,1.3424237148405034,2.6822725007423692e-06,0.0071621403012395255,2.6822725004200075e-06,1.8828848292967258e-07,0.9999999998798177,2.62887741694399e-05,,,,,,
8,1.466287034262555,2.7805166513969055e-06,0.007162132127354495,2.7805166510745442e-06,1.97996056700527e-07,0.9999999998840643,2.7644142329108428e-05,,,,,,
9,1.4646319193418853,2.7932813744056123e-06,0.0071621399039384645,2.793281374088743e-06,1.8849404477186269e-07,0.9999999998865603,2.6317474644174766e-05,,,,,,
10,1.449968446761479,2.7480139543738564e-06,0.007162136324703549,2.748013954063504e-06,1.9066598426999304e-07,0.999999999887063,2.6620720100761517e-05,0.25,-5.4368913369915095,-3.9869228902300304,0.0,0.2666907166042085,0.060294150373618884
11,1.4704878423007297,2.7313776834374127e-06,0.007162122072828974,2.7313776831279103e-06,2.0216850022957478e-07,0.9999999998866863,2.822669748045482e-05,,,,,,
12,1.4641018924800118,2.81115644205213e-06,0.007162111520161445,2.8111564417483512e-06,2.0779074106462337e-07,0.9999999998919382,2.9011672840280735e-05,,,,,,
13,1.37591736217076,2.7028395219865192e-06,0.0071621054582278396,2.7028395216921897e-06,2.1004134740680593e-07,0.9999999998911036,2.932590173497126e-05,,,,,,
14,1.25017331876605,2.4765637758786113e-06,0.007162108787105273,2.476563775589651e-06,2.0634756442163418e-07,0.9999999998833221,2.8810177006526932e-05,,,,,,
15,1.2802460139429614,2.68645290471309e-06,0.00716214291426513,2.6864529044063796e-06,1.7249792841409947e-07,0.9999999998858308,2.4084102299917322e-05,,,,,,
16,1.4174452564537434,3.0998308280602685e-06,0.007162188333718699,3.099830827741428e-06,1.3608683902283452e-07,0.9999999998971426,1.9000398340032652e-05,,,,,,
17,1.415604288408612,3.3600871101550158e-06,0.007162228696299693,3.3600871098330543e-06,1.329899717672957e-07,0.9999999999041806,1.856801478344517e-05,,,,,,
18,1.3727507656568168,3.5653903747543817e-06,0.007162242548568876,3.5653903744307177e-06,1.4712655236211276e-07,0.9999999999092206,2.054175937473831e-05,,,,,,
19,1.4108167308946982,3.597775873849029e-06,0.007162207503373558,3.5977758735225026e-06,2.0411232203418596e-07,0.9999999999092422,2.8498093221989065e-05,,,,,,
20,1.4360167588223642,3.593450732302807e-06,0.007162173559625632,3.5934507319751074e-06,2.607004155781251e-07,0.9999999999088064,3.639890366301535e-05,0.5,-5.384610530167901,-3.9485937713455366,0.009613709605074006,0.26668906706936646,0.05125284159452383
21,1.3861404300923674,3.7494818213610595e-06,0.007162166184891585,3.749481821034619e-06,2.5317544459688234e-07,0.9999999999129372,3.534826976507605e-05,,,,,,
22,1.3309006768927591,3.882901318910196e-06,0.007162162868608725,3.882901318585675e-06,2.512700267486393e-07,0.999999999916423,3.508223597091355e-05,,,,,,
23,1.3141635600189499,3.768865055324196e-06,0.007162140423428065,3.7688650549982547e-06,2.5710998651148435e-07,0.9999999999135174,3.589760917364625e-05,,,,,,
24,1.3673821837098532,3.6354271637401983e-06,0.007162127891977732,3.635427163412993e-06,2.567682345423744e-07,0.9999999999099953,3.584989387955018e-05,,,,,,
25,1.4732155381400462,3.5576346987570144e-06,0.007162120564951361,3.55763469842996e-06,2.5932460664122406e-07,0.9999999999080698,3.620681368555243e-05,,,,,,
26,1.4768131397725626,3.6531424701926127e-06,0.007162107679965123,3.6531424698680114e-06,2.693996970086611e-07,0.9999999999111446,3.7613494387872275e-05,,,,,,
27,1.3727071842812442,3.7828836489791627e-06,0.007162110515515418,3.782883648655702e-06,2.654993677393097e-07,0.9999999999144936,3.7068931737236164e-05,,,,,,
28,1.3131255244202922,3.6850769986097806e-06,0.007162120524488323,3.685076998285589e-06,2.5625730529700566e-07,0.9999999999120258,3.577855811148263e-05,,,,,,
29,1.3379595905962025,3.578217667838098e-06,0.007162115627823597,3.5782176675151618e-06,2.5756719832111966e-07,0.9999999999097494,3.596144493154331e-05,,,,,,
