step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,0.49087385212340523,3.0975305037917107e-16,0.006924154078379165,0.0,0.0,0.0,0.0,,,,,,
1,0.48899146118790815,0.0002870680298942338,0.006950473492658162,0.000287068029893926,5.142694713702064e-05,0.9999999999989277,0.007399056652952251,,,,,,
2,0.5373183607724137,0.00047202324283116524,0.0069569358981745166,0.0004720232428308725,5.9606183590103716e-05,0.9999999999993798,0.008567878799306494,,,,,,
3,0.6719847120991296,0.0005978477346953549,0.006943487271300402,0.0005978477346950549,6.644267675742024e-05,0.9999999999994982,0.009569064385276336,,,,,,
4,0.8926804068557558,0.000712931963745604,0.006921850758226889,0.0007129319637453193,0.0001384430710119691,0.9999999999996007,0.019994221596578977,,,,,,
5,1.2065445343001986,0.00105497713613086,0.006890226006611165,0.0010549771361306483,0.0002029846141040531,0.9999999999997994,0.02931543865233695,,,,,,
6,1.6538321284741693,0.0016613714175021505,0.00688747996765157,0.0016613714175019744,0.00019834418551324708,0.999999999999894,0.028645258795234135,,,,,,
7,2.137705768539281,0.002099440144474309,0.006897785615238512,0.0020994401444741724,0.0001845097210890046,0.9999999999999349,0.02664725813441104,,,,,,
8,2.4089805525372787,0.002178764762281095,0.006915381978879835,0.0021787647622809963,0.00020073329858985304,0.9999999999999546,0.028990299221770283,,,,,,
9,2.325487732851144,0.002718826759534552,0.006914329242049587,0.002718826759534478,0.0002379931236190105,0.9999999999999727,0.034371436701870865,,,,,,
10,1.9934069945930537,0.0033154391035192295,0.006881379625556158,0.0033154391035191536,0.00022933856005055375,0.9999999999999771,0.03312152754755542,0.25,-4.07401260586233,-2.0806056112692763,0.0,0.48929819012455344,0.09450052295238237
11,1.5926154785330746,0.003542629746677183,0.006857067484147316,0.0035426297466771093,0.00022691309026315784,0.9999999999999792,0.03277123641308031,,,,,,
12,1.2706988950428846,0.003604430907342445,0.006829909060348481,0.003604430907342362,0.00023293575524547855,0.9999999999999769,0.03364104157832448,,,,,,
13,1.0782037390633967,0.003642590869256694,0.006804545128077392,0.0036425908692565884,0.00023578166802692093,0.9999999999999709,0.03405205391993728,,,,,,
14,0.9914741077192932,0.0038654865235881616,0.00678681243775446,0.003865486523588053,0.0002460928993238675,0.9999999999999719,0.0355412222977964,,,,,,
15,0.9603915650811707,0.003895372621702526,0.006793149460537246,0.003895372621702406,0.0002395761413364225,0.9999999999999691,0.034600059245432545,,,,,,
16,0.9488749468678562,0.0037192606392204603,0.006800083879752681,0.003719260639220321,0.00024593898734250123,0.9999999999999626,0.035518994025631453,,,,,,
17,0.9531481821844295,0.0032031848602496124,0.006788864084120598,0.003203184860249462,0.0002724440697068217,0.999999999999953,0.03934691034064865,,,,,,
18,0.9546001697568963,0.0027348760784410404,0.006787778986803987,0.002734876078440855,0.0002792778637557018,0.9999999999999323,0.04033386036682135,,,,,,
19,0.9762425684536314,0.0026225667690155147,0.006790662840455984,0.002622566769015322,0.00026496729656830405,0.9999999999999266,0.038267100005135744,,,,,,
20,1.035179674791292,0.002634409087244562,0.0067987886439431384,0.0026344090872443987,0.00024820314643564536,0.9999999999999379,0.03584598835122193,0.5,-3.102235287424988,-2.067055612633696,0.006512526238605147,0.3336883179001369,0.10714721663101996
21,1.1116532851548953,0.0028126881492173753,0.006803052429495532,0.002812688149217236,0.00023147083967464118,0.9999999999999505,0.03342947557989998,,,,,,
22,1.170024801988051,0.00262060902461731,0.0067956172954471115,0.0026206090246171988,0.00023690751788127426,0.9999999999999576,0.034214651378285124,,,,,,
23,1.1763163134960344,0.0027353184760047886,0.006803034778767565,0.0027353184760046606,0.00023812483471550655,0.9999999999999533,0.034390458678419215,,,,,,
24,1.1316997254260122,0.002990827332188023,0.006806217256604161,0.0029908273321878603,0.00025921339662091574,0.9999999999999456,0.03743611041676783,,,,,,
25,1.080551841815578,0.00295235725304724,0.006787458771562477,0.0029523572530470474,0.00029156692381770565,0.9999999999999348,0.042108670679084144,,,,,,
26,1.064709650704628,0.0031285402595910487,0.006788897175187413,0.0031285402595908666,0.00028584878844081996,0.9999999999999418,0.04128284628058604,,,,,,
27,1.070749697494754,0.00326402017730086,0.006809589566294471,0.003264020177300704,0.0002824715049809987,0.9999999999999521,0.040795092336697515,,,,,,
28,1.0781238638349908,0.0033460632745573363,0.006830851634490318,0.0033460632745571815,0.0002854640614639646,0.9999999999999537,0.041227283251153074,,,,,,
29,1.104366930004565,0.0030526838853098632,0.006835362559709231,0.003052683885309684,0.00030850745741876077,0.9999999999999414,0.044555255981677616,,,,,,
30,1.1581083602481785,0.0026657015000202317,0.006825974121337305,0.0026657015000200487,0.0003197629169740371,0.9999999999999314,0.04618079166847317,0.75,-3.2295481630965504,-2.0714398028483716,0.004405356003684494,0.358597643311739,0.10042644681921437
31,1.219294376606474,0.002376788601484895,0.006850248308646849,0.002376788601484769,0.0003038749248203551,0.9999999999999469,0.04388621647938363,,,,,,
32,1.249379008133915,0.0026433501199620056,0.006886811556256057,0.0026433501199619063,0.0002836917338964948,0.9999999999999625,0.04097132020535606,,,,,,
33,1.2462540694261908,0.0028957488799244086,0.006899813632245486,0.0028957488799242924,0.00024127367393667425,0.9999999999999598,0.034845220254421695,,,,,,
34,1.2379621011742223,0.0031005516870434573,0.006884240925764995,0.0031005516870433263,0.00022637074081180187,0.9999999999999578,0.03269290923473957,,,,,,
