step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1,0.0002290017540019577,6.976325717220285e-08,7.624774771563599e-08,6.976325717220285e-08,7.624774771563599e-08,1.0,1.0,,,,,,
2,0.0009175737873156907,1.4317210294846383e-07,1.480317172329648e-07,1.4317210294846383e-07,1.480317172329648e-07,1.0,1.0,,,,,,
3,0.002070444212231438,2.1570490754008255e-07,2.2117298543791886e-07,2.1570490754008255e-07,2.2117298543791886e-07,1.0,1.0,,,,,,
4,0.003695586431886129,2.878441316499499e-07,3.0022774812378647e-07,2.878441316499499e-07,3.0022774812378647e-07,1.0,1.0,,,,,,
5,0.005804360049843404,3.6338654114657283e-07,3.757488805574683e-07,3.6338654114657283e-07,3.757488805574683e-07,1.0,1.0,,,,,,
6,0.008411706807897362,4.405914582672946e-07,4.433193804948038e-07,4.405914582672946e-07,4.433193804948038e-07,1.0,1.0,,,,,,
7,0.011536404883717495,5.174757616434727e-07,4.811713073500058e-07,5.174757616434727e-07,4.811713073500058e-07,1.0,1.0,,,,,,
8,0.015201381399098764,5.900610503056834e-07,4.904070284124397e-07,5.900610503056834e-07,4.904070284124397e-07,1.0,1.0,,,,,,
9,0.01943407634434685,6.618514066098002e-07,4.826925507301943e-07,6.618514066098002e-07,4.826925507301943e-07,1.0,1.0,,,,,,
10,0.024266851239730314,7.511119340635651e-07,4.6373180283709197e-07,7.511119340635651e-07,4.6373180283709197e-07,1.0,1.0,0.25,-0.6392697418896415,-0.6150028906499112,0.0,0.03796026880296104,0.7855381834035354
11,0.029737473795535426,8.514932717475651e-07,4.5897730397267584e-07,8.514932717475651e-07,4.5897730397267584e-07,1.0,1.0,,,,,,
12,0.03588970619544292,9.390730663572792e-07,4.898442381196689e-07,9.390730663572792e-07,4.898442381196689e-07,1.0,1.0,,,,,,
13,0.0427741205153366,9.942115827259306e-07,5.289945641994967e-07,9.942115827259306e-07,5.289945641994967e-07,1.0,1.0,,,,,,
