step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1,0.00022900163433459996,7.115888159158708e-08,7.725238589901853e-08,7.115888159158708e-08,7.725238589901853e-08,1.0,1.0,,,,,,
2,0.0009175733029321608,1.4588834060156246e-07,1.4976185290836335e-07,1.4588834060156246e-07,1.4976185290836335e-07,1.0,1.0,,,,,,
3,0.0020704430449644006,2.1945711420289983e-07,2.2323186084432887e-07,2.1945711420289983e-07,2.2323186084432887e-07,1.0,1.0,,,,,,
4,0.0036955841982391218,2.925061336554279e-07,3.022090881672083e-07,2.925061336554279e-07,3.022090881672083e-07,1.0,1.0,,,,,,
5,0.00580435637853148,3.68824749909565e-07,3.7758887810663244e-07,3.68824749909565e-07,3.7758887810663244e-07,1.0,1.0,,,,,,
6,0.008411701337690154,4.464838471669129e-07,4.453801987320187e-07,4.464838471669129e-07,4.453801987320187e-07,1.0,1.0,,,,,,
7,0.011536397257314725,5.235555184441825e-07,4.831210445555966e-07,5.235555184441825e-07,4.831210445555966e-07,1.0,1.0,,,,,,
8,0.015201371164850255,5.959164792210185e-07,4.908370893056923e-07,5.959164792210185e-07,4.908370893056923e-07,1.0,1.0,,,,,,
9,0.01943406294703691,6.672599682684379e-07,4.803691174505136e-07,6.672599682684379e-07,4.803691174505136e-07,1.0,1.0,,,,,,
10,0.02426683393631054,7.544880068205942e-07,4.5816053752627815e-07,7.544880068205942e-07,4.5816053752627815e-07,1.0,1.0,0.25,-0.6392697337581509,-0.6150028998218403,0.0,0.03796024221833595,0.7855381991181191
11,0.02973745184264297,8.521997805016712e-07,4.493641100528077e-07,8.521997805016712e-07,4.493641100528077e-07,1.0,1.0,,,,,,
12,0.03588967921164309,9.405559866434125e-07,4.7509080958087066e-07,9.405559866434125e-07,4.7509080958087066e-07,1.0,1.0,,,,,,
13,0.042774088883063464,1.0001593040228573e-06,5.072413957950887e-07,1.0001593040228573e-06,5.072413957950887e-07,1.0,1.0,,,,,,
14,0.050449281508985276,1.0359926585133153e-06,5.193859026142718e-07,1.0359926585133153e-06,5.193859026142718e-07,1.0,1.0,,,,,,
15,0.05898353312582566,1.073325658052174e-06,5.330511560938739e-07,1.073325658052174e-06,5.330511560938739e-07,1.0,1.0,,,,,,
16,0.06845675216600215,1.1239247320717938e-06,5.573139847316136e-07,1.1239247320717938e-06,5.573139847316136e-07,1.0,1.0,,,,,,
17,0.07896308181079668,1.1555165795649272e-06,5.876966675338425e-07,1.1555165795649272e-06,5.876966675338425e-07,1.0,1.0,,,,,,
18,0.09061515556013335,1.192071790967531e-06,6.144046091414618e-07,1.192071790967531e-06,6.144046091414618e-07,1.0,1.0,,,,,,
19,0.1035496550963725,1.2476628344126467e-06,6.412502818334799e-07,1.2476628344126467e-06,6.412502818334799e-07,1.0,1.0,,,,,,
20,0.11793270349316572,1.3102335008050211e-06,6.77455058319735e-07,1.3102335008050211e-06,6.77455058319735e-07,1.0,1.0,0.5,-0.7328730295979511,-0.6149403261047853,0.00010174540164462328,0.1609183292743939,0.7090233808546784
21,0.13396388634859518,1.389946676888352e-06,7.236445349857057e-07,1.389946676888352e-06,7.236445349857057e-07,1.0,1.0,,,,,,
22,0.15186495518060078,1.4918204492836559e-06,7.837131213623288e-07,1.4918204492836559e-06,7.837131213623288e-07,1.0,1.0,,,,,,
23,0.17183911140213975,1.6367848012470208e-06,8.861395153458514e-07,1.6367848012470208e-06,8.861395153458514e-07,1.0,1.0,,,,,,
24,0.19404015161199414,1.7897083918690016e-06,1.0277611628120052e-06,1.7897083918690016e-06,1.0277611628120052e-06,1.0,1.0,,,,,,
25,0.2186202509025949,1.9047513540523383e-06,1.166920161243504e-06,1.9047513540523383e-06,1.166920161243504e-06,1.0,1.0,,,,,,
26,0.2457994954491513,1.996043834351274e-06,1.2566124220717296e-06,1.996043834351274e-06,1.2566124220717296e-06,1.0,1.0,,,,,,
27,0.275853298169256,2.0902039225122914e-06,1.2944768209262642e-06,2.0902039225122914e-06,1.2944768209262642e-06,1.0,1.0,,,,,,
28,0.3091014324474465,2.15636733012124e-06,1.2883346561651758e-06,2.15636733012124e-06,1.2883346561651758e-06,1.0,1.0,,,,,,
29,0.34596391566964324,2.1425997214734954e-06,1.2436772137405186e-06,2.1425997214734954e-06,1.2436772137405186e-06,1.0,1.0,,,,,,
30,0.3870654102115499,2.1105557160807346e-06,1.2308175161481568e-06,2.1105557160807346e-06,1.2308175161481568e-06,1.0,1.0,0.75,-1.0019037369682258,-0.6148383267566759,0.0002675972181790527,0.3863299396235561,0.5720113667366622
