step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1,0.0005330469168399084,4.957116572337059e-06,7.929298503662394e-07,4.957116572337059e-06,7.929298503662394e-07,1.0,1.0,,,,,,
2,0.002146063279752473,3.9657305411608276e-06,1.914490309195489e-06,3.9657305411608276e-06,1.914490309195489e-06,1.0,1.0,,,,,,
3,0.004877578541335875,8.730853227051436e-06,5.873177655871391e-06,8.730853227051436e-06,5.873177655871391e-06,1.0,1.0,,,,,,
4,0.008789449561015225,1.1141726586707532e-05,1.0576159881819144e-05,1.1141726586707532e-05,1.0576159881819144e-05,1.0,1.0,,,,,,
5,0.01395427722950584,1.7347579159957014e-05,1.4925608076579283e-05,1.7347579159957014e-05,1.4925608076579283e-05,1.0,1.0,,,,,,
6,0.02044009646361318,4.4391475780581256e-05,3.2765115814392184e-05,4.4391475780581256e-05,3.2765115814392184e-05,1.0,1.0,,,,,,
7,0.02835910924678108,0.00010306037713597347,2.7012760846173294e-05,0.00010306037713597347,2.7012760846173294e-05,1.0,1.0,,,,,,
8,0.03788744380528511,0.0002452018804487182,3.3704727455848124e-05,0.0002452018804487182,3.3704727455848124e-05,1.0,1.0,,,,,,
9,0.04929417179268336,0.00024038385109328782,5.894721272935808e-05,0.00024038385109328782,5.894721272935808e-05,1.0,1.0,,,,,,
10,0.06222976373247366,0.00042010842742437284,0.00014449339831687939,0.00042010842742437284,0.00014449339831687939,1.0,1.0,0.25,-0.7678345323708013,-0.7056047686383277,0.0,0.08104579972501388,0.6838672517154344
11,0.07663516836207133,0.000893699720510446,0.00021677442877105605,0.000893699720510446,0.00021677442877105605,1.0,1.0,,,,,,
12,0.09317392708136378,0.0007715288719615409,0.0002191472233224081,0.0007715288719615409,0.0002191472233224081,1.0,1.0,,,,,,
13,0.111967538033383,0.0008471255699691199,0.0002529199690022112,0.0008471255699691199,0.0002529199690022112,1.0,1.0,,,,,,
14,0.13256920076091863,0.0009534756426457956,0.00028279343904693703,0.0009534756426457956,0.00028279343904693703,1.0,1.0,,,,,,
15,0.15463356310310697,0.0021207858009376825,0.00045377269316698536,0.0021207858009376825,0.00045377269316698536,1.0,1.0,,,,,,
16,0.17795553195044198,0.004277250873038585,0.0005899892799762207,0.004277250873038585,0.0005899892799762207,1.0,1.0,,,,,,
17,0.20209320463694877,0.004304156983195165,0.0004738030688410519,0.004304156983195165,0.0004738030688410519,1.0,1.0,,,,,,
18,0.2296581816620806,0.004114641792740142,0.00048326781917697203,0.004114641792740142,0.00048326781917697203,1.0,1.0,,,,,,
19,0.2519464020477369,0.0038720410093213134,0.0004827101334605704,0.0038720410093213134,0.0004827101334605704,1.0,1.0,,,,,,
20,0.2611111108660804,0.0040572887279390546,0.0006257456137656671,0.0040572887279390546,0.0006257456137656671,1.0,1.0,0.5,-0.9644409514141787,-0.7033298405480983,0.0032240826470312516,0.27073830749638744,0.5665481845381359
21,0.2649165462900749,0.003960073869879937,0.0016883546958009169,0.003960073869879937,0.0016883546958009169,1.0,1.0,,,,,,
22,0.27447707862515136,0.004472339129492061,0.002626044591609403,0.004472339129492061,0.002626044591609403,1.0,1.0,,,,,,
23,0.28912704104787434,0.004520500470758364,0.002681250043048455,0.004520500470758364,0.002681250043048455,1.0,1.0,,,,,,
24,0.31086644938881,0.004437941793814454,0.0027045700351701427,0.004437941793814454,0.0027045700351701427,1.0,1.0,,,,,,
25,0.33968103889411266,0.0042966516014322715,0.0026743952890215085,0.0042966516014322715,0.0026743952890215085,1.0,1.0,,,,,,
26,0.375698064201682,0.004261376622566445,0.00265577575117133,0.004261376622566445,0.00265577575117133,1.0,1.0,,,,,,
27,0.4202119225362253,0.004395677465520978,0.002680091648685029,0.004395677465520978,0.002680091648685029,1.0,1.0,,,,,,
28,0.47539523318869453,0.004477706186772892,0.0027083273764872233,0.004477706186772892,0.0027083273764872233,1.0,1.0,,,,,,
29,0.5418497266811245,0.004421330863668149,0.0026865183020997234,0.004421330863668149,0.0026865183020997234,1.0,1.0,,,,,,
30,0.6211376913621508,0.004315064875752297,0.0026648862453949418,0.004315064875752297,0.0026648862453949418,1.0,1.0,0.75,-1.3205318112074307,-0.6993941198452799,0.008801880413922169,0.4703693512647851,0.40224875616153116
31,0.7171365297800394,0.0042439412113231085,0.002661088619701347,0.0042439412113231085,0.002661088619701347,1.0,1.0,,,,,,
32,0.8172087428936922,0.004164844885939925,0.002650114455355234,0.004164844885939925,0.002650114455355234,1.0,1.0,,,,,,
33,0.8943590187588563,0.004028699464114151,0.002622136583061571,0.004028699464114151,0.002622136583061571,1.0,1.0,,,,,,
34,0.9499638815693465,0.003852343120367082,0.0025630668835357807,0.003852343120367082,0.0025630668835357807,1.0,1.0,,,,,,
35,0.9953238666951684,0.0037799025911328067,0.0025388491791241688,0.0037799025911328067,0.0025388491791241688,1.0,1.0,,,,,,
36,1.0452825848581342,0.0036398582380965053,0.002528341148751742,0.0036398582380965053,0.002528341148751742,1.0,1.0,,,,,,
37,1.11377664725153,0.0036326352833116284,0.0024957811052540736,0.0036326352833116284,0.0024957811052540736,1.0,1.0,,,,,,
38,1.196923175583892,0.0036729215034685234,0.0024716910642362615,0.0036729215034685234,0.0024716910642362615,1.0,1.0,,,,,,
39,1.2996392113263844,0.003651856605693647,0.0024746542274791845,0.003651856605693647,0.0024746542274791845,1.0,1.0,,,,,,
40,1.420602552059918,0.003558949298020403,0.002483420590018533,0.003558949298020403,0.002483420590018533,1.0,1.0,1.0,-2.122504523335298,-0.70190197127538,0.005247693223634657,0.6693048407866697,0.21125082942737436
41,1.517434759717757,0.0034526380286265673,0.0024830922866711414,0.0034526380286265673,0.0024830922866711414,1.0,1.0,,,,,,
42,1.545670974445123,0.0033649054998881466,0.0024724863335787175,0.0033649054998881466,0.0024724863335787175,1.0,1.0,,,,,,
43,1.5201324484122185,0.0034566064381527416,0.0024774780079887837,0.0034566064381527416,0.0024774780079887837,1.0,1.0,,,,,,
44,1.4666933176378767,0.0035514095159770906,0.0024929783658729676,0.0035514095159770906,0.0024929783658729676,1.0,1.0,,,,,,
45,1.3901787868088336,0.003628733007191328,0.0024799598120663242,0.003628733007191328,0.0024799598120663242,1.0,1.0,,,,,,
46,1.3086535217650412,0.0037687790176258586,0.002461549086533873,0.0037687790176258586,0.002461549086533873,1.0,1.0,,,,,,
47,1.2411423547766303,0.0038102388514918194,0.002440159016430794,0.0038102388514918194,0.002440159016430794,1.0,1.0,,,,,,
48,1.195840289848322,0.0038076497982360725,0.0024485614256119486,0.0038076497982360725,0.0024485614256119486,1.0,1.0,,,,,,
49,1.173147061701472,0.0037653536097069337,0.002486888942967865,0.0037653536097069337,0.002486888942967865,1.0,1.0,,,,,,
50,1.176064269555945,0.0036795808172511014,0.002504448742761602,0.0036795808172511014,0.002504448742761602,1.0,1.0,1.25,-1.8733330822590006,-0.6972688127030557,0.011813916665215578,0.6277923988497345,0.22796254198375795
51,1.1985998010502916,0.0035466574815836544,0.0025079333002778633,0.0035466574815836544,0.0025079333002778633,1.0,1.0,,,,,,
52,1.2216483442790607,0.003492223000015402,0.002477528648775493,0.003492223000015402,0.002477528648775493,1.0,1.0,,,,,,
53,1.2188529569863304,0.003676594640852922,0.0024426259282561984,0.003676594640852922,0.0024426259282561984,1.0,1.0,,,,,,
54,1.1936310761306483,0.003845520497957966,0.002443590664949758,0.003845520497957966,0.002443590664949758,1.0,1.0,,,,,,
