step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1,0.0005324683170221674,4.936949463794202e-06,3.7080130405804685e-06,4.936949463794202e-06,3.7080130405804685e-06,1.0,1.0,,,,,,
2,0.002142576406881976,1.124744300577072e-05,7.243840939759205e-06,1.124744300577072e-05,7.243840939759205e-06,1.0,1.0,,,,,,
3,0.004867655778374466,1.766636903155935e-05,1.1024494472497522e-05,1.766636903155935e-05,1.1024494472497522e-05,1.0,1.0,,,,,,
4,0.008768378967646605,2.395547743309812e-05,1.4818148759308263e-05,2.395547743309812e-05,1.4818148759308263e-05,1.0,1.0,,,,,,
5,0.013918117328791474,2.9739905789263962e-05,1.827580592902756e-05,2.9739905789263962e-05,1.827580592902756e-05,1.0,1.0,,,,,,
6,0.02037884916826971,3.494053003805347e-05,2.2040664070102577e-05,3.494053003805347e-05,2.2040664070102577e-05,1.0,1.0,,,,,,
7,0.028213550997189554,3.87377754421219e-05,2.5739522306258216e-05,3.87377754421219e-05,2.5739522306258216e-05,1.0,1.0,,,,,,
8,0.03757717076721687,4.024583291411217e-05,2.9035520538203113e-05,4.024583291411217e-05,2.9035520538203113e-05,1.0,1.0,,,,,,
9,0.04869667352316812,3.898348647747238e-05,3.1827502068372003e-05,3.898348647747238e-05,3.1827502068372003e-05,1.0,1.0,,,,,,
10,0.061666152024910346,4.259065425687756e-05,3.4610578986661975e-05,4.259065425687756e-05,3.4610578986661975e-05,1.0,1.0,0.25,-0.767822507839886,-0.7061563558149757,0.0,0.08031302989332215,0.6838605698004889
11,0.07642176278558778,5.010108246179624e-05,3.73574908512217e-05,5.010108246179624e-05,3.73574908512217e-05,1.0,1.0,,,,,,
12,0.09311907968673616,5.486913329385801e-05,3.814888065924426e-05,5.486913329385801e-05,3.814888065924426e-05,1.0,1.0,,,,,,
13,0.11199594901671175,6.22225256403003e-05,3.992307484825834e-05,6.22225256403003e-05,3.992307484825834e-05,1.0,1.0,,,,,,
