step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,2.9452431127404295,1.2718315369458018e-16,0.0034383823041535828,0.0,0.0,0.0,0.0,,,,,,
1,2.2124041796702096,4.90497912571834e-06,0.0034383595417580093,4.904979125792474e-06,5.967375056809994e-08,1.0000000000151141,1.735518196915269e-05,,,,,,
2,0.9760900829216355,5.109246899265171e-06,0.0034383555431223775,5.109246899341845e-06,6.348210678372188e-08,1.0000000000150069,1.8462783125377064e-05,,,,,,
3,0.6463158260122938,5.330001050565771e-06,0.003438348032785311,5.330001050644159e-06,6.796557313907966e-08,1.000000000014707,1.9766729562613474e-05,,,,,,
4,0.9669050339380684,4.952346334653562e-06,0.0034383629711908052,4.9523463347294145e-06,6.348024990097883e-08,1.0000000000153164,1.846224307991999e-05,,,,,,
5,1.629335174399508,4.2786609560847105e-06,0.003438387223517266,4.278660956175571e-06,7.03624256648396e-08,1.0000000000212357,2.0463787552369687e-05,,,,,,
6,1.798267797499179,4.454542942302356e-06,0.003438392801299831,4.45454294240766e-06,7.46698076127264e-08,1.0000000000236398,2.1716485558165036e-05,,,,,,
7,1.452552249096337,4.943029328028496e-06,0.0034383939866541144,4.943029328130649e-06,7.303007345407051e-08,1.0000000000206661,2.123958852229606e-05,,,,,,
8,1.1592921737243314,5.223251160424422e-06,0.0034384065961328963,5.223251160527095e-06,6.040327028623959e-08,1.000000000019657,1.756722731807631e-05,,,,,,
9,1.0040247874956891,5.5455830228393075e-06,0.0034384136119563575,5.54558302294104e-06,5.7440167839320726e-08,1.0000000000183449,1.6705427072410565e-05,,,,,,
10,1.097970359149532,5.875078325985915e-06,0.003438410850540216,5.87507832608378e-06,6.357642412593003e-08,1.0000000000166578,1.8490060347483315e-05,0.25,-4.625003599690542,-3.52703324054101,0.0,0.23739881180265393,0.06370533027527568
11,1.2945060758307922,6.5576513174803535e-06,0.0034384117548426985,6.557651317574173e-06,5.739021423289859e-08,1.000000000014307,1.6690907990315457e-05,,,,,,
12,1.3019040558279826,6.717439795150737e-06,0.0034383994875532785,6.717439795247998e-06,5.212658036745878e-08,1.0000000000144789,1.5160129169444296e-05,,,,,,
13,1.2238058480803493,6.675214956495721e-06,0.0034383792187638565,6.675214956594119e-06,1.2969588517916621e-07,1.0000000000147409,3.7720030440621145e-05,,,,,,
