step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,1.4726215563702176,4.061942388251486e-16,0.0012763472126695007,0.0,0.0,0.0,0.0,,,,,,
1,1.5042466534272743,4.446458864526049e-06,0.0012763248203466109,4.446458864129923e-06,3.370308976833596e-08,0.999999999910912,2.6405894441407843e-05,,,,,,
2,1.8088737167163007,4.469575894104888e-06,0.0012763261921968506,4.469575893701975e-06,3.0729767602357746e-08,0.9999999999098544,2.4076338552176522e-05,,,,,,
3,2.151187049134554,3.598811888100891e-06,0.0012763240310108568,3.598811887701145e-06,2.9661959227920854e-08,0.9999999998889227,2.323972578424204e-05,,,,,,
4,1.8456014233019897,2.105372821310115e-06,0.0012763208973674634,2.105372820936793e-06,2.9097996367813812e-08,0.9999999998226812,2.2797868854944953e-05,,,,,,
5,1.3405638458116185,2.4882248887571583e-06,0.0012763191406895149,2.4882248885172286e-06,2.891736212489485e-08,0.9999999999035739,2.2656344478877126e-05,,,,,,
6,1.3719516329472925,3.504081826371921e-06,0.001276318731654727,3.5040818262302206e-06,2.9675427850173345e-08,0.9999999999595612,2.3250278259398327e-05,,,,,,
7,1.7203562998329458,4.965779216087286e-06,0.0012763181738205188,4.9657792159483225e-06,3.002654406652594e-08,0.9999999999720158,2.3525372851894232e-05,,,,,,
8,1.819948809835967,6.128127155524118e-06,0.001276318471218129,6.128127155345473e-06,2.926345099207795e-08,0.9999999999708483,2.2927500214360146e-05,,,,,,
9,1.6645037828096725,5.373928247467943e-06,0.0012763195157418118,5.3739282472744344e-06,2.8098482108825787e-08,0.9999999999639911,2.2014763561129546e-05,,,,,,
10,1.6372633818561455,3.3404885283390918e-06,0.001276320323235336,3.340488528129502e-06,2.7659800865928307e-08,0.9999999999372577,2.1671063008064545e-05,0.25,-5.6688748931497654,-4.03161151129362,0.0,0.28881628413331273,0.05160748867272741
11,1.7500613411428083,1.9753065623377466e-06,0.0012763199079695773,1.975306562265735e-06,2.8632459738310467e-08,0.999999999963544,2.243312748607428e-05,,,,,,
12,1.7528547653328932,1.962806191282163e-06,0.0012763194551071988,1.9628061914226146e-06,2.9214458436381362e-08,1.0000000000715565,2.288911523948006e-05,,,,,,
13,1.593918112305506,1.688967447194312e-06,0.0012763180259058285,1.6889674473785208e-06,3.0444763916774754e-08,1.000000000109066,2.385304219304012e-05,,,,,,
14,1.5960683526482446,1.9567749273221337e-06,0.0012763154630629856,1.956774927504475e-06,3.315993852816095e-08,1.0000000000931846,2.5980343122155927e-05,,,,,,
15,1.7213460450927496,2.4032456122728374e-06,0.0012763076799291832,2.403245612411119e-06,4.128119606482821e-08,1.0000000000575395,3.234323360842222e-05,,,,,,
16,1.7343143645879706,2.7381503444513108e-06,0.001276300435790224,2.7381503445783924e-06,4.908567154480882e-08,1.0000000000464115,3.845792983097863e-05,,,,,,
17,1.6606158080215563,5.25929362806321e-06,0.0012763043717708893,5.259293628239667e-06,4.461203125023348e-08,1.0000000000335516,3.495289589493967e-05,,,,,,
18,1.615025011373399,7.181082390054332e-06,0.001276305075523216,7.181082390255408e-06,4.249726589600397e-08,1.000000000028001,3.329600713204071e-05,,,,,,
19,1.6068734898137924,7.659346992180595e-06,0.0012763006799614393,7.659346992367212e-06,4.666808973244737e-08,1.0000000000243645,3.656378865343413e-05,,,,,,
20,1.6193431304251713,7.441806577945643e-06,0.0012763026686345089,7.4418065781042464e-06,4.5044109803255003e-08,1.0000000000213125,3.5291423333815666e-05,0.5,-5.548600750033656,-3.9292576196084847,0.025387835955526572,0.2918471166654672,0.050295433576214084
21,1.648048102953312,7.076280537787964e-06,0.0012763068084743624,7.076280537921239e-06,4.176394456095772e-08,1.000000000018834,3.272146023150531e-05,,,,,,
22,1.7284475634868677,7.245742825298994e-06,0.00127630709361433,7.2457428254139735e-06,4.072297624534033e-08,1.0000000000158686,3.190587627027255e-05,,,,,,
23,1.7514744826545907,7.266894538713493e-06,0.0012763039228397223,7.266894538856957e-06,4.542501436814359e-08,1.000000000019742,3.5589856676332175e-05,,,,,,
24,1.639026527178499,7.014551077377375e-06,0.0012763009910965464,7.014551077553536e-06,5.125248647934256e-08,1.0000000000251137,4.015559870432683e-05,,,,,,
25,1.5340564691187297,6.379480797880818e-06,0.0012763041496744005,6.379480798080753e-06,4.989216373591643e-08,1.0000000000313405,3.908980506297042e-05,,,,,,
26,1.564179737978539,6.606752700492096e-06,0.0012763047189510905,6.60675270070565e-06,5.106907342818778e-08,1.0000000000323237,4.0011897171284604e-05,,,,,,
27,1.7063217062181877,6.693904154473179e-06,0.001276298654220677,6.693904154677023e-06,7.386468769898371e-08,1.0000000000304523,5.787193873718307e-05,,,,,,
28,1.7520754030226817,5.992349536441174e-06,0.0012762926681485513,5.992349536605761e-06,9.291811266145007e-08,1.0000000000274663,7.28000278757301e-05,,,,,,
29,1.672540219197723,5.211342043497206e-06,0.0012762778536349266,5.211342043611691e-06,1.0032010337690396e-07,1.0000000000219684,7.859938297438896e-05,,,,,,
30,1.6065424129261163,4.3926086885793666e-06,0.0012762685287451066,4.392608688661633e-06,1.0788038457170875e-07,1.0000000000187284,8.452275642618845e-05,0.75,-5.477430932443659,-3.8708885195175426,0.03986569423314947,0.2933021762831039,0.050902197618545114
31,1.5866294464317723,3.998903060465825e-06,0.0012762701851251562,3.998903060537473e-06,1.0639553015534442e-07,1.000000000017917,8.335939397933613e-05,,,,,,
32,1.6189387249590828,3.8119076103265373e-06,0.001276264766155211,3.8119076103940556e-06,1.0818390168666139e-07,1.0000000000177125,8.476055779554925e-05,,,,,,
33,1.6949193342378492,3.341133237883192e-06,0.0012762565258549574,3.341133237972662e-06,1.1279158617060214e-07,1.0000000000267784,8.837061345924572e-05,,,,,,
34,1.699528384391748,3.317240620173023e-06,0.0012762530558021155,3.317240620329524e-06,1.1383894197033265e-07,1.000000000047178,8.919120192399424e-05,,,,,,
35,1.6198733528940639,3.5427228963865588e-06,0.0012762429656860326,3.542722896590683e-06,1.226236902521108e-07,1.000000000057618,9.607392803063469e-05,,,,,,
36,1.5696379980294046,4.448046916927662e-06,0.0012762339032529916,4.448046917156166e-06,1.286309221696363e-07,1.0000000000513718,0.00010078050932598714,,,,,,
37,1.5864764376120388,5.253519463031199e-06,0.001276225303644025,5.253519463271682e-06,1.3448251503115624e-07,1.0000000000457756,0.00010536514962091225,,,,,,
38,1.6252572742473346,5.670251158765751e-06,0.0012762354389221735,5.670251159017852e-06,1.2578243740530988e-07,1.0000000000444604,9.854876177637736e-05,,,,,,
39,1.6541166818920825,6.458200420089364e-06,0.0012762413996468072,6.458200420332932e-06,1.174156801821565e-07,1.0000000000377145,9.199352575587933e-05,,,,,,
40,1.6571495716887508,6.468731904954247e-06,0.0012762414850768227,6.468731905191723e-06,1.1521744237264907e-07,1.0000000000367113,9.027123750415057e-05,1.0,-5.463252504637113,-3.806102932948362,0.055935096353789994,0.3033265568966822,0.051123552824953684
41,1.6206912269028206,5.891836405405976e-06,0.001276239682942711,5.891836405637663e-06,1.1558897986040674e-07,1.0000000000393234,9.056233187413834e-05,,,,,,
42,1.5985367347406199,5.59879610807533e-06,0.0012762382926989916,5.598796108293763e-06,1.1748421243261452e-07,1.0000000000390143,9.204721980541204e-05,,,,,,
43,1.636189650194648,5.637295556085898e-06,0.0012762399547512585,5.637295556319413e-06,1.1701811608838066e-07,1.0000000000414233,9.168203990796156e-05,,,,,,
44,1.6396100061027148,5.176766433541592e-06,0.001276241687142429,5.176766433774159e-06,1.155460217841429e-07,1.0000000000449252,9.052867482859663e-05,,,,,,
45,1.5922005026532249,4.831653170073468e-06,0.001276234240778898,4.831653170299129e-06,1.225443358454658e-07,1.0000000000467046,9.60117549747003e-05,,,,,,
46,1.5414418748339263,4.906882381528618e-06,0.001276228631536195,4.9068823817227045e-06,1.3041420349032147e-07,1.000000000039554,0.0001021776850341202,,,,,,
47,1.586550614171224,4.726989628781877e-06,0.0012762352189389337,4.726989628908668e-06,1.2929771381633916e-07,1.0000000000268228,0.00010130293115610048,,,,,,
48,1.6640651387453689,5.194302041715237e-06,0.001276242512606667,5.194302041808009e-06,1.285861210412972e-07,1.0000000000178604,0.00010074540827519594,,,,,,
49,1.6470940719724283,5.569018570237992e-06,0.0012762449646396689,5.569018570326114e-06,1.291581985956767e-07,1.0000000000158236,0.00010119362295275456,,,,,,
50,1.6269447762514226,5.318921000671776e-06,0.0012762495698156876,5.318921000752014e-06,1.2969885834612984e-07,1.0000000000150853,0.00010161722222502652,1.25,-5.401636932051638,-3.7746921558002158,0.06372621835553953,0.30119476683033564,0.05197089087599761
51,1.6435574088180083,4.8390174603370784e-06,0.0012762451231467496,4.839017460410021e-06,1.3230230788241943e-07,1.0000000000150737,0.00010365698813703446,,,,,,
52,1.6605811802693287,4.593746343534086e-06,0.0012762318290849568,4.593746343605251e-06,1.3533743062291154e-07,1.0000000000154916,0.0001060349639028483,,,,,,
53,1.6313778498258942,4.835464615978567e-06,0.0012762253228124692,4.835464616047532e-06,1.3480606604935401e-07,1.0000000000142624,0.00010561864727028703,,,,,,
54,1.5723829465425583,5.330864686643222e-06,0.0012762208597042984,5.330864686757991e-06,1.348766341300497e-07,1.0000000000215292,0.00010567393636403456,,,,,,
55,1.5711395485699162,5.994608642163644e-06,0.0012762083678904044,5.994608642307937e-06,1.4801910969273123e-07,1.0000000000240705,0.00011597088019892869,,,,,,
56,1.6193335357038483,6.150901352166982e-06,0.0012762021057389648,6.150901352312713e-06,1.586721256359826e-07,1.0000000000236926,0.00012431736761043047,,,,,,
57,1.6119948804776913,5.668034894595854e-06,0.0012761943423634937,5.66803489478407e-06,1.7935114652665576e-07,1.0000000000332065,0.0001405190881809817,,,,,,
58,1.5902443830144597,5.534451011190004e-06,0.001276185894229134,5.534451011420222e-06,1.9562481523385965e-07,1.0000000000415972,0.0001532692775852953,,,,,,
59,1.630324969234313,5.822200349251038e-06,0.0012761693855216133,5.822200349499579e-06,2.1437432628251847e-07,1.0000000000426885,0.00016795925446818748,,,,,,
60,1.6645541609223127,5.857890359351175e-06,0.001276159045945151,5.857890359608767e-06,2.2144758691493957e-07,1.0000000000439735,0.00017350105419337923,1.5,-5.378652654586236,-3.714098493663923,0.07875585649566136,0.30947418764864676,0.05010419195131015
61,1.6062524136998566,6.146344322466155e-06,0.0012761652089558853,6.146344322727685e-06,2.162155727177406e-07,1.0000000000425504,0.00016940184502422525,,,,,,
62,1.5235280307935846,6.578951522076299e-06,0.0012761733062707434,6.578951522340511e-06,2.195205489634195e-07,1.00000000004016,0.00017199124719698237,,,,,,
63,1.497976979778787,6.855917844311366e-06,0.001276182114809512,6.855917844588054e-06,2.512162765246355e-07,1.0000000000403575,0.00019682440172311157,,,,,,
64,1.5581796728415271,6.7686387639048616e-06,0.0012762008198196693,6.768638764217266e-06,2.6681832704715863e-07,1.0000000000461546,0.0002090483877730291,,,,,,
65,1.6608050383301316,6.886631413010966e-06,0.0012762205338305676,6.886631413355782e-06,2.7594911654233323e-07,1.0000000000500704,0.00021620223227908434,,,,,,
66,1.6436424063954482,7.847010671887117e-06,0.0012762346738042255,7.84701067224067e-06,2.689769467263067e-07,1.0000000000450557,0.00021073963577962232,,,,,,
67,1.5887925313613505,9.014749114479607e-06,0.001276234328409456,9.014749114832842e-06,2.7980205708304613e-07,1.000000000039184,0.000219220956731543,,,,,,
68,1.6438050447289079,9.529410764180224e-06,0.0012761959505969618,9.529410764535646e-06,3.247650506245687e-07,1.0000000000372973,0.000254448826620867,,,,,,
69,1.6567305580447824,1.0045780653832198e-05,0.0012761642600098723,1.0045780654195854e-05,3.707827681424194e-07,1.0000000000362,0.0002905030578371549,,,,,,
70,1.5558700681260096,1.0430860946141476e-05,0.0012761544723152787,1.0430860946514117e-05,3.9659208347172336e-07,1.0000000000357248,0.00031072429158382747,1.75,-5.22693113195345,-3.671061063827441,0.08943085077919355,0.2976641606419133,0.05155710805152944
71,1.5146266358570346,1.027399914748616e-05,0.0012761340474525544,1.0273999147864645e-05,4.4203949143552053e-07,1.0000000000368392,0.00034633169332582147,,,,,,
72,1.5938311874694906,1.038324243570031e-05,0.0012761180248929123,1.0383242436083084e-05,4.832747735984551e-07,1.0000000000368645,0.00037863895404110153,,,,,,
73,1.6488398025690372,1.0291539040472352e-05,0.0012760997579467199,1.0291539040854726e-05,5.161555527681677e-07,1.0000000000371543,0.00040440057975182165,,,,,,
74,1.6306712005485773,9.767789117112078e-06,0.0012760604612156847,9.767789117489875e-06,5.542269698261223e-07,1.000000000038678,0.0004342289968784808,,,,,,
75,1.601661262863549,9.7687314739327e-06,0.0012760288660368887,9.76873147431508e-06,6.220964101707367e-07,1.0000000000391434,0.0004874037440561429,,,,,,
76,1.5910363804372232,1.0327088210860248e-05,0.0012759994204941355,1.0327088211247192e-05,6.856900565823428e-07,1.0000000000374687,0.0005372284671255019,,,,,,
77,1.6000800392389563,1.0877364220960111e-05,0.0012759885709787248,1.0877364221347267e-05,7.068502520483321e-07,1.0000000000355926,0.0005538071811744263,,,,,,
78,1.5690880945363304,1.119684030654415e-05,0.0012759954930413506,1.1196840306930627e-05,7.093236599121505e-07,1.0000000000345166,0.0005557450612741878,,,,,,
79,1.543615207160144,1.08533318570149e-05,0.0012759937436930436,1.0853331857393456e-05,7.116318636484883e-07,1.0000000000348792,0.0005575535062752234,,,,,,
80,1.6013263166113836,1.0696400821324989e-05,0.0012760179350282512,1.069640082169001e-05,7.160382549477752e-07,1.0000000000341256,0.0005610058515740162,2.0,-5.220001362325327,-3.6186750457139434,0.10242466676735372,0.3067674135429821,0.05188004433741936
81,1.6607974113612565,1.0733032716227075e-05,0.0012760151897399943,1.0733032716587071e-05,7.493475078270606e-07,1.000000000033541,0.0005871031803797246,,,,,,
82,1.5882149718377625,1.137171255078233e-05,0.0012759323904587088,1.1371712551145305e-05,8.048254656502174e-07,1.0000000000319191,0.0006305693761550292,,,,,,
83,1.4847923772634557,1.1640199335635965e-05,0.0012758666824071228,1.1640199336005856e-05,8.543857652320548e-07,1.000000000031777,0.0006693991703441678,,,,,,
84,1.5193394597224785,1.1747154269899587e-05,0.0012758244892415627,1.1747154270269766e-05,8.844201161705143e-07,1.0000000000315121,0.000692930659769872,,,,,,
85,1.5841053967934193,1.1956066833563117e-05,0.0012757900170364057,1.195606683392973e-05,9.269048262028247e-07,1.0000000000306632,0.0007262168295601855,,,,,,
86,1.6001849845468066,1.1809859246910583e-05,0.0012757581339394198,1.1809859247285351e-05,9.750782439336736e-07,1.0000000000317335,0.0007639600214226047,,,,,,
87,1.5810534823843856,1.1401617863134169e-05,0.0012757441969568984,1.1401617863511647e-05,9.776208898857947e-07,1.0000000000331075,0.0007659521485858734,,,,,,
88,1.5591652283125736,1.206646857302445e-05,0.0012757779622781422,1.2066468573397003e-05,9.333552490975675e-07,1.000000000030875,0.0007312706447216977,,,,,,
89,1.5634537078188926,1.3098529025393e-05,0.0012757932117008505,1.3098529025761138e-05,8.772837302634733e-07,1.0000000000281053,0.0006873394022842893,,,,,,
90,1.6354069506897604,1.3443235370082716e-05,0.0012757915695778665,1.344323537044595e-05,8.344850365746074e-07,1.00000000002702,0.0006538072307372134,2.25,-5.201119468648355,-3.5657125179585947,0.11556148007562674,0.3144336446312707,0.05184096072417267
91,1.6840681155272776,1.3122025013800988e-05,0.0012757620067581122,1.312202501416413e-05,8.234584853169913e-07,1.0000000000276743,0.0006451680836868164,,,,,,
92,1.593117673595891,1.283079266630682e-05,0.0012757137686432436,1.2830792666676592e-05,8.230921597937405e-07,1.0000000000288192,0.0006448810728173489,,,,,,
93,1.500983012958541,1.2553072517378819e-05,0.001275635185156497,1.2553072517751869e-05,8.768749605375953e-07,1.0000000000297178,0.0006870191369820108,,,,,,
94,1.5081130969520953,1.2306898260614166e-05,0.0012756016345431347,1.2306898260986001e-05,9.071003659246538e-07,1.0000000000302136,0.0007107003148676439,,,,,,
95,1.5281891522432973,1.2317170572287168e-05,0.001275570052409783,1.2317170572654358e-05,9.181200144034964e-07,1.0000000000298113,0.0007193340536884424,,,,,,
