step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1,0.00022893648214292279,7.313257464505375e-08,7.881488218649698e-08,7.313257464505375e-08,7.881488218649698e-08,1.0,1.0,,,,,,
2,0.0009173116170555182,1.5195844097734836e-07,1.507085015969073e-07,1.5195844097734836e-07,1.507085015969073e-07,1.0,1.0,,,,,,
3,0.002069850254086931,2.2742856876856478e-07,2.2400884985359627e-07,2.2742856876856478e-07,2.2400884985359627e-07,1.0,1.0,,,,,,
4,0.0036945207363177374,2.992148840936814e-07,3.031382924035373e-07,2.992148840936814e-07,3.031382924035373e-07,1.0,1.0,,,,,,
5,0.005802676185643258,3.7789970373160904e-07,3.786799294773989e-07,3.7789970373160904e-07,3.786799294773989e-07,1.0,1.0,,,,,,
6,0.008409249424298593,4.5379370504472115e-07,4.4688906453657906e-07,4.5379370504472115e-07,4.4688906453657906e-07,1.0,1.0,,,,,,
7,0.011533009850336819,5.282037503913456e-07,4.85442383497532e-07,5.282037503913456e-07,4.85442383497532e-07,1.0,1.0,,,,,,
8,0.015196875774191189,6.02941123189999e-07,4.914815347963194e-07,6.02941123189999e-07,4.914815347963194e-07,1.0,1.0,,,,,,
9,0.019428280764158812,6.731325465486728e-07,4.813569635679302e-07,6.731325465486728e-07,4.813569635679302e-07,1.0,1.0,,,,,,
10,0.024259578565143984,7.640440278286433e-07,4.573347186101972e-07,7.640440278286433e-07,4.573347186101972e-07,1.0,1.0,0.25,-0.63927373227272,-0.6150141537075761,0.0,0.03794865538882274,0.7855393891645719
11,0.029728539792053737,8.621691467128364e-07,4.4153566070465015e-07,8.621691467128364e-07,4.4153566070465015e-07,1.0,1.0,,,,,,
12,0.035878923334064866,9.526019538578714e-07,4.6840568109771166e-07,9.526019538578714e-07,4.6840568109771166e-07,1.0,1.0,,,,,,
13,0.04276129314636256,1.0008369375083278e-06,4.966772188284132e-07,1.0008369375083278e-06,4.966772188284132e-07,1.0,1.0,,,,,,
14,0.05043422332692723,1.0311930641390468e-06,5.044126329160087e-07,1.0311930641390468e-06,5.044126329160087e-07,1.0,1.0,,,,,,
15,0.0589659766106026,1.0674941323402697e-06,5.198554132685049e-07,1.0674941323402697e-06,5.198554132685049e-07,1.0,1.0,,,,,,
16,0.0684364423057841,1.1238422348673436e-06,5.504855485448515e-07,1.1238422348673436e-06,5.504855485448515e-07,1.0,1.0,,,,,,
17,0.07893966775482784,1.1588510907425773e-06,5.864003833470037e-07,1.1588510907425773e-06,5.864003833470037e-07,1.0,1.0,,,,,,
18,0.09058810411957761,1.202916175116807e-06,6.167635762575741e-07,1.202916175116807e-06,6.167635762575741e-07,1.0,1.0,,,,,,
19,0.10351841317575336,1.2652678383417532e-06,6.51783565768698e-07,1.2652678383417532e-06,6.51783565768698e-07,1.0,1.0,,,,,,
20,0.11789675541319308,1.3301847912517657e-06,6.939327472914832e-07,1.3301847912517657e-06,6.939327472914832e-07,1.0,1.0,0.5,-0.7329100659004123,-0.6150133104872192,1.3710584574171282e-06,0.16086114913478738,0.709011578072542
21,0.13392399346546618,1.4256772560686777e-06,7.398351042957562e-07,1.4256772560686777e-06,7.398351042957562e-07,1.0,1.0,,,,,,
22,0.15182620825221202,1.535312903621896e-06,7.96943457666457e-07,1.535312903621896e-06,7.96943457666457e-07,1.0,1.0,,,,,,
23,0.1718113006792417,1.6897979367232669e-06,9.016913432616618e-07,1.6897979367232669e-06,9.016913432616618e-07,1.0,1.0,,,,,,
24,0.1940301302253592,1.8474715042172532e-06,1.0486656346431621e-06,1.8474715042172532e-06,1.0486656346431621e-06,1.0,1.0,,,,,,
25,0.21862947824290943,1.9592138250103112e-06,1.1947023903886775e-06,1.9592138250103112e-06,1.1947023903886775e-06,1.0,1.0,,,,,,
26,0.24583412901697044,2.047177433026704e-06,1.2825180873747886e-06,2.047177433026704e-06,1.2825180873747886e-06,1.0,1.0,,,,,,
27,0.27592325903613507,2.1426280870259543e-06,1.323023206073225e-06,2.1426280870259543e-06,1.323023206073225e-06,1.0,1.0,,,,,,
28,0.3092157930146477,2.2216403314585293e-06,1.3137416134421598e-06,2.2216403314585293e-06,1.3137416134421598e-06,1.0,1.0,,,,,,
29,0.3461167710609572,2.217227057562711e-06,1.2484831477148822e-06,2.217227057562711e-06,1.2484831477148822e-06,1.0,1.0,,,,,,
30,0.3872995652350816,2.167844061057701e-06,1.2204631309503653e-06,2.167844061057701e-06,1.2204631309503653e-06,1.0,1.0,0.75,-1.0022866793831817,-0.6149871141481001,4.396575154069244e-05,0.38641595583554,0.5719303665163293
31,0.4332479743196982,2.1447867278510983e-06,1.2956378430210698e-06,2.1447867278510983e-06,1.2956378430210698e-06,1.0,1.0,,,,,,
32,0.4841664567076995,2.174573714626193e-06,1.3780441781831998e-06,2.174573714626193e-06,1.3780441781831998e-06,1.0,1.0,,,,,,
33,0.5411037024649589,2.2894331135947452e-06,1.440759314779011e-06,2.2894331135947452e-06,1.440759314779011e-06,1.0,1.0,,,,,,
