step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1,0.0005322284469105871,3.9392887530222046e-08,3.4062450622637126e-08,3.9392887530222046e-08,3.4062450622637126e-08,1.0,1.0,,,,,,
2,0.0021413997857568905,7.384683237049426e-08,7.019531921866383e-08,7.384683237049426e-08,7.019531921866383e-08,1.0,1.0,,,,,,
3,0.00486493482078681,1.0534689423057703e-07,1.0595753121708804e-07,1.0534689423057703e-07,1.0595753121708804e-07,1.0,1.0,,,,,,
4,0.008763253891248525,1.3552652396772917e-07,1.408348691307474e-07,1.3552652396772917e-07,1.408348691307474e-07,1.0,1.0,,,,,,
5,0.013909245465327185,1.6608008885250792e-07,1.7348130373652358e-07,1.6608008885250792e-07,1.7348130373652358e-07,1.0,1.0,,,,,,
6,0.020365287691788324,1.9116238539807435e-07,2.0695247312158857e-07,1.9116238539807435e-07,2.0695247312158857e-07,1.0,1.0,,,,,,
7,0.02819489786721227,2.1833749138811774e-07,2.4121527867042696e-07,2.1833749138811774e-07,2.4121527867042696e-07,1.0,1.0,,,,,,
8,0.0375519176733543,2.6169165690767657e-07,2.677285652031612e-07,2.6169165690767657e-07,2.677285652031612e-07,1.0,1.0,,,,,,
9,0.04866180496295254,3.2213815024208277e-07,2.880472834870959e-07,3.2213815024208277e-07,2.880472834870959e-07,1.0,1.0,,,,,,
10,0.06161981078286516,4.0469302076215527e-07,2.891457305135832e-07,4.0469302076215527e-07,2.891457305135832e-07,1.0,1.0,0.25,-0.7677984622092549,-0.7061786514263897,0.0,0.08025518910986223,0.6838453947445562
11,0.076362893244505,4.856076744635361e-07,2.696736126772541e-07,4.856076744635361e-07,2.696736126772541e-07,1.0,1.0,,,,,,
12,0.09304150133521545,4.4584255542927813e-07,2.5182414588373344e-07,4.4584255542927813e-07,2.5182414588373344e-07,1.0,1.0,,,,,,
13,0.11189019134948155,4.666109562127804e-07,2.368651673211091e-07,4.666109562127804e-07,2.368651673211091e-07,1.0,1.0,,,,,,
14,0.1325377380663129,5.578452764278062e-07,2.146736680250955e-07,5.578452764278062e-07,2.146736680250955e-07,1.0,1.0,,,,,,
15,0.15383302078605884,6.064907762268602e-07,1.9619454997273433e-07,6.064907762268602e-07,1.9619454997273433e-07,1.0,1.0,,,,,,
16,0.17555577669252892,7.095952840015461e-07,1.7337212386660695e-07,7.095952840015461e-07,1.7337212386660695e-07,1.0,1.0,,,,,,
17,0.2002547568792199,8.247090276777562e-07,1.5714415436586833e-07,8.247090276777562e-07,1.5714415436586833e-07,1.0,1.0,,,,,,
18,0.22885145429991455,8.74112703095137e-07,1.624039038559692e-07,8.74112703095137e-07,1.624039038559692e-07,1.0,1.0,,,,,,
19,0.252269502800825,1.0451030976288278e-06,1.7362801741634688e-07,1.0451030976288278e-06,1.7362801741634688e-07,1.0,1.0,,,,,,
20,0.26143637577362955,1.1943136098358859e-06,1.793062736985627e-07,1.1943136098358859e-06,1.793062736985627e-07,1.0,1.0,0.5,-0.9687332159130244,-0.7072968401393949,0.001583436019690737,0.2698744829630184,0.5671081015256334
21,0.2635697079269393,1.0288927343622888e-06,1.5560004215410725e-07,1.0288927343622888e-06,1.5560004215410725e-07,1.0,1.0,,,,,,
22,0.26999948756315,7.569146466738576e-07,1.5065603435390785e-07,7.569146466738576e-07,1.5065603435390785e-07,1.0,1.0,,,,,,
23,0.2842956801162045,6.71262594765156e-07,1.8896517020565823e-07,6.71262594765156e-07,1.8896517020565823e-07,1.0,1.0,,,,,,
24,0.3062160993562719,7.221761819174658e-07,2.640040147059727e-07,7.221761819174658e-07,2.640040147059727e-07,1.0,1.0,,,,,,
25,0.3351837791450494,8.395660537540549e-07,3.5413646329150586e-07,8.395660537540549e-07,3.5413646329150586e-07,1.0,1.0,,,,,,
26,0.37122317062335786,1.0354609477178979e-06,4.137889438738378e-07,1.0354609477178979e-06,4.137889438738378e-07,1.0,1.0,,,,,,
27,0.41589417379165033,1.2705409621784068e-06,4.315078501111624e-07,1.2705409621784068e-06,4.315078501111624e-07,1.0,1.0,,,,,,
28,0.471182749530724,1.5423156709325006e-06,4.633889852365252e-07,1.5423156709325006e-06,4.633889852365252e-07,1.0,1.0,,,,,,
29,0.5379741005299009,1.930486842537438e-06,5.171527885411889e-07,1.930486842537438e-06,5.171527885411889e-07,1.0,1.0,,,,,,
30,0.6177519030833577,2.330490815876635e-06,5.821206407889541e-07,2.330490815876635e-06,5.821206407889541e-07,1.0,1.0,0.75,-1.3236558689034281,-0.7059039658200704,0.00038897466776210217,0.4667012911710422,0.3998957080221303
31,0.7132671353155602,2.541538585282717e-06,6.430412080075632e-07,2.541538585282717e-06,6.430412080075632e-07,1.0,1.0,,,,,,
32,0.8096883442281586,2.503228249331137e-06,6.918226858403377e-07,2.503228249331137e-06,6.918226858403377e-07,1.0,1.0,,,,,,
33,0.8814238997789182,2.3302641550206533e-06,7.703244503052488e-07,2.3302641550206533e-06,7.703244503052488e-07,1.0,1.0,,,,,,
34,0.9350369881444988,2.369748500201323e-06,1.1148219720208548e-06,2.369748500201323e-06,1.1148219720208548e-06,1.0,1.0,,,,,,
