step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,2.9452431127404295,1.2718315369458018e-16,0.0034383823041535828,0.0,0.0,0.0,0.0,,,,,,,,,,
1,2.4820381031292276,2.524433403587047e-06,0.003438370349834623,2.524433403658765e-06,2.9231426061030357e-08,1.0000000000284097,8.50150549743077e-06,,,,,,,,,,
2,1.6937914253267679,2.5617949920898755e-06,0.003438370411819861,2.5617949921613206e-06,2.933658560712394e-08,1.0000000000278888,8.532089515376229e-06,,,,,,,,,,
3,1.14441096931532,2.8090442870758894e-06,0.003438369369352405,2.8090442871455088e-06,3.0921572500213024e-08,1.000000000024784,8.993058294553114e-06,,,,,,,,,,
4,0.8524436362246188,3.209701454847773e-06,0.00343836973269259,3.2097014549115963e-06,3.0341216948280565e-08,1.0000000000198845,8.824270911244578e-06,,,,,,,,,,
5,0.8266941688121859,3.4603632786678943e-06,0.003438370533906479,3.4603632787265683e-06,2.989909717837163e-08,1.000000000016956,8.69568725451308e-06,,,,,,,,,,
6,1.076025117903165,3.791486516510831e-06,0.0034383683366021227,3.7914865165655845e-06,3.1220047939643006e-08,1.0000000000144411,9.079865232533634e-06,,,,,,,,,,
7,1.4932210764199279,4.59253531495934e-06,0.0034383692800073764,4.5925353150055014e-06,3.3715279422452985e-08,1.0000000000100515,9.805564489360232e-06,,,,,,,,,,
8,1.7236540954266057,5.315178640709387e-06,0.0034383712119983867,5.315178640751459e-06,3.865750462021664e-08,1.0000000000079154,1.1242933798698936e-05,,,,,,,,,,
9,1.6099953636428008,5.190923288611284e-06,0.003438369754351467,5.19092328864113e-06,4.5969231290080644e-08,1.0000000000057496,1.3369435747313376e-05,,,,,,,,,,
10,1.4171334867995105,4.9798012899635195e-06,0.0034383700540930907,4.97980128997665e-06,5.1330104240818035e-08,1.0000000000026368,1.4928562242427498e-05,,,,,,,,,,
11,1.3184542656980267,5.1407320353375604e-06,0.003438364684652488,5.140732035349804e-06,5.212002106207789e-08,1.0000000000023817,1.5158297260638133e-05,,,,,,,,,,
12,1.3119160525112643,5.282011412314586e-06,0.0034383620857317393,5.282011412328264e-06,5.060128526570963e-08,1.0000000000025895,1.4716596582230844e-05,,,,,,,,,,
13,1.3712723228015997,5.456174755688597e-06,0.0034383641816526974,5.456174755704875e-06,5.068544766279267e-08,1.0000000000029834,1.4741073906052971e-05,,,,,,,,,,
14,1.4206124798524435,5.71658944509164e-06,0.003438361880901791,5.716589445111262e-06,5.498107080087535e-08,1.0000000000034326,1.5990389065944746e-05,,,,,,,,,,
15,1.388524261882049,6.06404966719214e-06,0.0034383674449796177,6.0640496672169156e-06,5.4216705069196315e-08,1.0000000000040856,1.5768085184623673e-05,,,,,,,,,,
16,1.315164261550041,6.352497182917625e-06,0.003438373678145817,6.3524971829438165e-06,5.6406474484732625e-08,1.000000000004123,1.6404945551456954e-05,,,,,,,,,,
17,1.2848607741959361,6.737171116516207e-06,0.0034383740638835552,6.737171116539935e-06,6.291759553863194e-08,1.0000000000035218,1.8298603812213428e-05,,,,,,,,,,
18,1.315406449241821,7.429610807179282e-06,0.0034383794088483533,7.429610807205366e-06,6.378244079267788e-08,1.0000000000035107,1.8550130599389247e-05,,,,,,,,,,
19,1.3844555535105167,7.778537992824925e-06,0.0034383886254071533,7.778537992852157e-06,6.095209898786006e-08,1.000000000003501,1.7726937129057795e-05,,,,,,,,,,
20,1.4444546361290895,7.687102673518755e-06,0.0034383927011374365,7.687102673544457e-06,5.974781182249024e-08,1.0000000000033435,1.737666898918363e-05,,,,,0.25,-6.012471959646861,-4.568017323517772,0.0,0.24024305573874621,0.04179944129410949
21,1.4717180187971006,7.328154177960752e-06,0.00343838583489228,7.328154177982862e-06,5.47297118449856e-08,1.0000000000030171,1.5917268879366533e-05,,,,,,,,,,
22,1.485045236860577,6.7156645566091155e-06,0.0034383791454067197,6.715664556627508e-06,4.727166896744373e-08,1.0000000000027387,1.3748229482899363e-05,,,,,,,,,,
23,1.4808990958136021,6.606614607820785e-06,0.003438379634688564,6.606614607844901e-06,4.336578353556709e-08,1.0000000000036502,1.2612263471453133e-05,,,,,,,,,,
24,1.4243618163352394,6.917119558867824e-06,0.003438380405958944,6.917119558897054e-06,3.833772213201118e-08,1.0000000000042257,1.1149930037069765e-05,,,,,,,,,,
25,1.3454798268685702,6.762607924898719e-06,0.003438385438565413,6.762607924921668e-06,3.4780935193830256e-08,1.0000000000033935,1.0115484670136865e-05,,,,,,,,,,
