step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,2.9452431127404295,1.2718315369458018e-16,0.0034383823041535828,0.0,0.0,0.0,0.0,,,,,,,,,,
1,1.6564760846348032,2.2411426347640246e-05,0.0034384352722044583,2.2411426347653175e-05,7.495750856695912e-08,1.0000000000005769,2.1799889377851275e-05,12655.0,64.0,0.000390625,0.0015625,,,,,,
2,0.9078430447484118,2.301019662181654e-05,0.0034384184170401125,2.3010196621834088e-05,5.152904133083193e-08,1.0000000000007625,1.4986262601277475e-05,12524.0,64.0,0.000390625,0.00078125,,,,,,
3,1.2984536731869074,3.26106199611636e-05,0.0034384103573230477,3.2610619961178715e-05,8.686789942618132e-08,1.0000000000004636,2.526397096296899e-05,12213.0,64.0,0.000390625,0.0015625,,,,,,
4,1.6820856055425426,5.020926846931032e-05,0.0034383912426543587,5.0209268469305834e-05,1.1702093352662961e-07,0.9999999999999106,3.4033629470360145e-05,12164.0,64.0,0.000390625,0.0015625,,,,,,
5,1.3794495132501359,4.7354259829047805e-05,0.003438411777832506,4.735425982905289e-05,1.2204464548260397e-07,1.0000000000001072,3.549448215290201e-05,12240.0,64.0,0.000390625,0.00078125,,,,,,
6,1.4223907502450204,5.033406788373647e-05,0.003438392544845996,5.0334067883739926e-05,1.432749331263126e-07,1.0000000000000686,4.166916117273335e-05,12146.0,64.0,0.000390625,0.0015625,,,,,,
7,1.5415527169822751,4.6937014129104856e-05,0.003438395056017767,4.693701412911313e-05,1.3559958146972798e-07,1.0000000000001763,3.943688240023671e-05,12256.0,64.0,0.000390625,0.0015625,,,,,,
8,1.326239361561392,5.2226656714806346e-05,0.0034383876506081457,5.222665671480732e-05,1.1666428892420438e-07,1.0000000000000187,3.39299406521455e-05,12305.0,64.0,0.000390625,0.0015625,,,,,,
9,1.3983573356070895,5.215058510543144e-05,0.0034384544358911024,5.215058510543837e-05,1.3649973428751138e-07,1.000000000000133,3.969799130176242e-05,12258.0,64.0,0.000390625,0.0015625,,,,,,
