step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,2.9452431127404295,1.2718315369458018e-16,0.0034383823041535828,0.0,0.0,0.0,0.0,,,,,,,,,,
1,2.21240417967021,4.904979125718068e-06,0.0034383595417580076,4.904979125792201e-06,5.967375056817293e-08,1.000000000015114,1.735518196917392e-05,200.0,1.0,0.025,0.025,,,,,,
2,0.9915604657510707,0.0004147037940452114,0.0034396042331244683,0.00041470379404533,1.787323130761193e-05,1.000000000000286,0.005196304602572326,1038.0,12.0,0.0015625,0.0125,,,,,,
3,0.6742027735649136,0.00028130662729411676,0.003443999003399169,0.0002813066272941738,1.1415048137302368e-05,1.0000000000002027,0.003314474866582687,766.0,9.0,0.0015625,0.025,,,,,,
4,0.9728608587407962,0.0005980794324879801,0.0034598147546062974,0.0005980794324879334,2.6395180096170992e-05,0.9999999999999221,0.007629073221631075,681.0,16.0,0.0015625,0.025,,,,,,
5,1.901215255789828,0.0007949149229160852,0.003461541861025822,0.0007949149229160117,3.1930969094799295e-05,0.9999999999999075,0.009224493123805994,914.0,18.0,0.00078125,0.025,,,,,,
6,2.129608418323123,0.001914342856093008,0.003470995544412828,0.0019143428560929152,4.624190165939149e-05,0.9999999999999515,0.013322374249032353,1207.0,23.0,0.00078125,0.025,,,,,,
7,1.6423787854050576,0.001685202592800619,0.0034689343582121343,0.0016852025928005597,3.747103681662126e-05,0.9999999999999649,0.01080188696217751,1030.0,17.0,0.00078125,0.025,,,,,,
8,1.3688752294614688,0.0017591418345694989,0.003448903242524487,0.001759141834569458,2.2646385425649983e-05,0.9999999999999767,0.006566257106439887,946.0,17.0,0.00078125,0.025,,,,,,
9,1.1791861386446085,0.0015242442254076278,0.0034444265523723584,0.0015242442254076072,2.2743178106109812e-05,0.9999999999999865,0.006602892458381899,950.0,19.0,0.00078125,0.025,,,,,,
10,1.171331709719206,0.001638084067751008,0.003442682862103526,0.0016380840677510007,3.69919754425697e-05,0.9999999999999954,0.01074510110988472,884.0,17.0,0.00078125,0.025,0.25,-4.6870484639318,-3.5157167542125944,0.0,0.24990817115140665,0.059471148348567156
11,1.31335250300939,0.0011184200382444427,0.003442964805948256,0.0011184200382444139,1.4496961795330829e-05,0.9999999999999742,0.00421060411953241,905.0,15.0,0.0015625,0.025,,,,,,
12,1.3938346021817076,0.001082224079012281,0.0034571452684761628,0.0010822240790122391,2.3592934023467202e-05,0.9999999999999614,0.006824397643511947,966.0,17.0,0.00078125,0.025,,,,,,
13,1.4130669984731015,0.0013568729530706277,0.003465921332977604,0.0013568729530705629,4.0201617645436705e-05,0.9999999999999523,0.0115991142854068,922.0,16.0,0.0015625,0.025,,,,,,
14,1.5281641191664517,0.0011563881210344949,0.003440849869156725,0.001156388121034415,3.0585365798665467e-06,0.9999999999999309,0.000888889866216722,955.0,16.0,0.0015625,0.025,,,,,,
15,1.6201895127212247,0.0007360330024098653,0.0034318688353897403,0.0007360330024097554,9.049316903522071e-06,0.9999999999998508,0.002631853035245805,977.0,17.0,0.00078125,0.025,,,,,,
16,1.6647201647375838,0.0014122706888062653,0.0034252442301744117,0.0014122706888062494,3.292516525748117e-05,0.9999999999999888,0.009575772076801176,978.0,16.0,0.0015625,0.025,,,,,,
17,1.619421437129939,0.0021840867662655593,0.0034239368893803517,0.0021840867662654955,1.982427355912542e-05,0.9999999999999708,0.005765581545477826,980.0,17.0,0.00078125,0.025,,,,,,
18,1.5346257652491553,0.0026824875604256814,0.0034264987383572304,0.002682487560425627,1.3998788968194994e-05,0.9999999999999797,0.004071329983080819,1009.0,19.0,0.000390625,0.025,,,,,,
19,1.3861287617870863,0.0030891174445122874,0.003433800665727359,0.003089117444512246,1.2080510154628163e-05,0.9999999999999867,0.003513428434073444,958.0,16.0,0.0015625,0.025,,,,,,
20,1.3349738360414904,0.002838394475730674,0.0034355887476857313,0.002838394475730635,8.528248747343783e-06,0.9999999999999862,0.0024803084686195647,921.0,16.0,0.0015625,0.025,0.5,-4.879903087408215,-3.544929251366725,0.008309115664431047,0.27356564508138903,0.06407823464351155
21,1.395492983824097,0.002272119639825059,0.003440286417995478,0.0022721196398250328,1.591539444990561e-05,0.9999999999999883,0.004626182973212705,929.0,17.0,0.00078125,0.025,,,,,,
22,1.3361981538021286,0.0018005382978787997,0.0034379874616858753,0.0018005382978788069,3.616070390710957e-05,1.000000000000004,0.010516778155653972,986.0,18.0,0.00078125,0.025,,,,,,
23,1.3833850552605313,0.0016893769165363507,0.003430755155391222,0.0016893769165363397,2.644729615692367e-05,0.9999999999999934,0.007691784629351776,928.0,18.0,0.00078125,0.025,,,,,,
24,1.4495421730642355,0.0015727864250415645,0.003417370959000656,0.0015727864250415845,6.519964442522897e-05,1.0000000000000127,0.018962302227552612,962.0,16.0,0.0015625,0.025,,,,,,
25,1.4868813557985194,0.0022371239165363435,0.003423385424064939,0.002237123916536341,6.117742946151904e-05,0.9999999999999989,0.017792503581587307,961.0,16.0,0.0015625,0.025,,,,,,
26,1.4570490010543824,0.0025401141473295596,0.003428737068475232,0.002540114147329551,5.330725004350487e-05,0.9999999999999966,0.015503584339388162,993.0,18.0,0.00078125,0.025,,,,,,
27,1.4399922675889214,0.0027683712554913385,0.0034422205044937686,0.0027683712554913468,5.919309250489701e-05,1.0000000000000029,0.017196194266933595,964.0,17.0,0.00078125,0.025,,,,,,
28,1.4401531240541545,0.0018861835331028223,0.00341826365380051,0.001886183533102832,7.579501450917692e-05,1.000000000000005,0.02204380077736445,945.0,17.0,0.00078125,0.025,,,,,,
29,1.4732793726682087,0.0013524939397328924,0.0034215797442443308,0.0013524939397329292,8.248345037769831e-05,1.0000000000000273,0.02398902829335118,945.0,16.0,0.0015625,0.025,,,,,,
30,1.4205131818437642,0.0010587806680509221,0.0033957342495876965,0.0010587806680509581,0.00010092479229245931,1.000000000000034,0.029352405685237986,963.0,16.0,0.0015625,0.025,0.75,-4.988860934411494,-3.5683477525677296,0.014970204380677648,0.2847369771415233,0.07515342397539383
31,1.3004192120397655,0.0010512286659385562,0.00338642372953946,0.0010512286659385773,0.00010531590730809136,1.00000000000002,0.03062949317208538,969.0,19.0,0.00078125,0.025,,,,,,
