step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1,1.430116394351374e-05,1.752192950252003e-08,2.0251647145779083e-08,1.752192950252003e-08,2.0251647145779083e-08,1.0,1.0,,,,,,,,,,
2,5.721075612129679e-05,3.503745114457386e-08,4.056199819639138e-08,3.503745114457386e-08,4.056199819639138e-08,1.0,1.0,,,,,,,,,,
3,0.00012874708025732362,5.273140980073069e-08,6.097486542847699e-08,5.273140980073069e-08,6.097486542847699e-08,1.0,1.0,,,,,,,,,,
4,0.00022894065116122055,7.098752735626524e-08,8.072450334467213e-08,7.098752735626524e-08,8.072450334467213e-08,1.0,1.0,,,,,,,,,,
5,0.00035783423336172634,8.912681822238353e-08,9.959817203760615e-08,8.912681822238353e-08,9.959817203760615e-08,1.0,1.0,,,,,,,,,,
6,0.0005154829252833674,1.0677743684936308e-07,1.1835035210297094e-07,1.0677743684936308e-07,1.1835035210297094e-07,1.0,1.0,,,,,,,,,,
7,0.0007019542663294972,1.2516281195076232e-07,1.3680630818991402e-07,1.2516281195076232e-07,1.3680630818991402e-07,1.0,1.0,,,,,,,,,,
8,0.0009173281792262197,1.4463593123690592e-07,1.5473891154046056e-07,1.4463593123690592e-07,1.5473891154046056e-07,1.0,1.0,,,,,,,,,,
9,0.0011616969969517256,1.6346314330570242e-07,1.727041103701859e-07,1.6346314330570242e-07,1.727041103701859e-07,1.0,1.0,,,,,,,,,,
10,0.0014351657917483635,1.8139381806559488e-07,1.9135169999179506e-07,1.8139381806559488e-07,1.9135169999179506e-07,1.0,1.0,,,,,,,,,,
11,0.001737852499123673,1.9878230043495183e-07,2.1119591036696246e-07,1.9878230043495183e-07,2.1119591036696246e-07,1.0,1.0,,,,,,,,,,
12,0.0020698877735801672,2.1590482812905827e-07,2.3108084677654848e-07,2.1590482812905827e-07,2.3108084677654848e-07,1.0,1.0,,,,,,,,,,
13,0.0024314152993734,2.3327473689634884e-07,2.5035851920466026e-07,2.3327473689634884e-07,2.5035851920466026e-07,1.0,1.0,,,,,,,,,,
14,0.0028225919977590513,2.504141942779617e-07,2.703015133672331e-07,2.504141942779617e-07,2.703015133672331e-07,1.0,1.0,,,,,,,,,,
15,0.0032435881228124823,2.6747677031273017e-07,2.907525063617522e-07,2.6747677031273017e-07,2.907525063617522e-07,1.0,1.0,,,,,,,,,,
16,0.0036945876892925528,2.85384383490405e-07,3.111068589578646e-07,2.85384383490405e-07,3.111068589578646e-07,1.0,1.0,,,,,,,,,,
17,0.0041757882780600365,3.045032492020903e-07,3.314378095639927e-07,3.045032492020903e-07,3.314378095639927e-07,1.0,1.0,,,,,,,,,,
18,0.004687401192228307,3.245270982455176e-07,3.5191012362739694e-07,3.245270982455176e-07,3.5191012362739694e-07,1.0,1.0,,,,,,,,,,
19,0.0052296522628173655,3.445391873261297e-07,3.712032322366844e-07,3.445391873261297e-07,3.712032322366844e-07,1.0,1.0,,,,,,,,,,
20,0.005802781692949951,3.6396038083464164e-07,3.888722125565851e-07,3.6396038083464164e-07,3.888722125565851e-07,1.0,1.0,,,,,,,,,,
21,0.006407044234899493,3.8225613307620696e-07,4.0630548187181666e-07,3.8225613307620696e-07,4.0630548187181666e-07,1.0,1.0,,,,,,,,,,
22,0.007042709500072813,4.0027272032627205e-07,4.2327124924971895e-07,4.0027272032627205e-07,4.2327124924971895e-07,1.0,1.0,,,,,,,,,,
23,0.0077100625170109524,4.19465573905283e-07,4.395855058527866e-07,4.19465573905283e-07,4.395855058527866e-07,1.0,1.0,,,,,,,,,,
24,0.008409403869168977,4.390111915864304e-07,4.560608467293403e-07,4.390111915864304e-07,4.560608467293403e-07,1.0,1.0,,,,,,,,,,
25,0.009141049870550762,4.586845022594181e-07,4.724170291472939e-07,4.586845022594181e-07,4.724170291472939e-07,1.0,1.0,,,,,,,,,,
26,0.009905333189407704,4.790233062086682e-07,4.884526159871979e-07,4.790233062086682e-07,4.884526159871979e-07,1.0,1.0,,,,,,,,,,
27,0.010702602389440073,4.997772057312222e-07,5.015013786864485e-07,4.997772057312222e-07,5.015013786864485e-07,1.0,1.0,,,,,,,,,,
28,0.011533223420541056,5.19716324889083e-07,5.07690300504532e-07,5.19716324889083e-07,5.07690300504532e-07,1.0,1.0,,,,,,,,,,
29,0.012397579685138483,5.399508076905598e-07,5.103483635755774e-07,5.399508076905598e-07,5.103483635755774e-07,1.0,1.0,,,,,,,,,,
30,0.01329607172057062,5.611673649650675e-07,5.126946901997583e-07,5.611673649650675e-07,5.126946901997583e-07,1.0,1.0,,,,,,,,,,
31,0.014229118338117198,5.812677878823128e-07,5.141266720916575e-07,5.812677878823128e-07,5.141266720916575e-07,1.0,1.0,,,,,,,,,,
32,0.015197157048138154,5.995589083843546e-07,5.154590389793987e-07,5.995589083843546e-07,5.154590389793987e-07,1.0,1.0,,,,,,,,,,
33,0.01620064369676647,6.1663755380206e-07,5.166073659528063e-07,6.1663755380206e-07,5.166073659528063e-07,1.0,1.0,,,,,,,,,,
34,0.017240052773240522,6.33354623780948e-07,5.147523020162624e-07,6.33354623780948e-07,5.147523020162624e-07,1.0,1.0,,,,,,,,,,
35,0.018315879487629073,6.513053406298272e-07,5.088149985592424e-07,6.513053406298272e-07,5.088149985592424e-07,1.0,1.0,,,,,,,,,,
36,0.019428639210053587,6.702101833519668e-07,5.017735796613176e-07,6.702101833519668e-07,5.017735796613176e-07,1.0,1.0,,,,,,,,,,
37,0.020578866849373087,6.890689547666501e-07,4.953148170347729e-07,6.890689547666501e-07,4.953148170347729e-07,1.0,1.0,,,,,,,,,,
38,0.0217671184130892,7.082257418120276e-07,4.886515289519226e-07,7.082257418120276e-07,4.886515289519226e-07,1.0,1.0,,,,,,,,,,
39,0.022993972084637312,7.27409941681483e-07,4.813012710383837e-07,7.27409941681483e-07,4.813012710383837e-07,1.0,1.0,,,,,,,,,,
40,0.0242600281943872,7.495273579003546e-07,4.75149446901362e-07,7.495273579003546e-07,4.75149446901362e-07,1.0,1.0,,,,,0.25,-0.639273491993549,-0.6150134637991618,0.0,0.03794937299642015,0.7855392689190305
41,0.025565909751005172,7.742267955538248e-07,4.7085228203563566e-07,7.742267955538248e-07,4.7085228203563566e-07,1.0,1.0,,,,,,,,,,
42,0.026912264035484072,7.965202262822882e-07,4.672080880892286e-07,7.965202262822882e-07,4.672080880892286e-07,1.0,1.0,,,,,,,,,,
43,0.028299760726595787,8.192905961182156e-07,4.6495282438423666e-07,8.192905961182156e-07,4.6495282438423666e-07,1.0,1.0,,,,,,,,,,
44,0.02972909296307985,8.437440494343884e-07,4.6459534771363534e-07,8.437440494343884e-07,4.6459534771363534e-07,1.0,1.0,,,,,,,,,,
45,0.0312009806773636,8.712822086141163e-07,4.679555870998665e-07,8.712822086141163e-07,4.679555870998665e-07,1.0,1.0,,,,,,,,,,
46,0.03271617071765686,9.017960979748575e-07,4.770401412545683e-07,9.017960979748575e-07,4.770401412545683e-07,1.0,1.0,,,,,,,,,,
47,0.03427543751216771,9.297825931113427e-07,4.891839896146532e-07,9.297825931113427e-07,4.891839896146532e-07,1.0,1.0,,,,,,,,,,
48,0.035879583564798215,9.53214529315326e-07,5.016618266211016e-07,9.53214529315326e-07,5.016618266211016e-07,1.0,1.0,,,,,,,,,,
49,0.03752943995156184,9.735128004087122e-07,5.140130750044816e-07,9.735128004087122e-07,5.140130750044816e-07,1.0,1.0,,,,,,,,,,
50,0.039225869827236096,9.922352330036147e-07,5.267076414414076e-07,9.922352330036147e-07,5.267076414414076e-07,1.0,1.0,,,,,,,,,,
51,0.04096976892204395,1.0096756590660569e-06,5.386471728037585e-07,1.0096756590660569e-06,5.386471728037585e-07,1.0,1.0,,,,,,,,,,
52,0.04276206658332878,1.0231590300872734e-06,5.45545725816669e-07,1.0231590300872734e-06,5.45545725816669e-07,1.0,1.0,,,,,,,,,,
53,0.04460372768986401,1.0336730847785875e-06,5.488804321473039e-07,1.0336730847785875e-06,5.488804321473039e-07,1.0,1.0,,,,,,,,,,
54,0.046495754366238755,1.0467150381989248e-06,5.525306184505353e-07,1.0467150381989248e-06,5.525306184505353e-07,1.0,1.0,,,,,,,,,,
55,0.0484391892813633,1.0595548923180603e-06,5.54030023622145e-07,1.0595548923180603e-06,5.54030023622145e-07,1.0,1.0,,,,,,,,,,
56,0.0504351174945806,1.0692387987389674e-06,5.546517118992764e-07,1.0692387987389674e-06,5.546517118992764e-07,1.0,1.0,,,,,,,,,,
57,0.052484666613601294,1.0782973845870317e-06,5.567677787009581e-07,1.0782973845870317e-06,5.567677787009581e-07,1.0,1.0,,,,,,,,,,
58,0.05458900846387166,1.0891182105002656e-06,5.596265296862795e-07,1.0891182105002656e-06,5.596265296862795e-07,1.0,1.0,,,,,,,,,,
59,0.056749363267412395,1.0995476543014473e-06,5.634263632243805e-07,1.0995476543014473e-06,5.634263632243805e-07,1.0,1.0,,,,,,,,,,
60,0.058967000236723736,1.1094062476486883e-06,5.673562160024851e-07,1.1094062476486883e-06,5.673562160024851e-07,1.0,1.0,,,,,,,,,,
61,0.06124323912073123,1.1199462286871706e-06,5.723445022933482e-07,1.1199462286871706e-06,5.723445022933482e-07,1.0,1.0,,,,,,,,,,
62,0.06357945469217881,1.12945860034109e-06,5.785378418354184e-07,1.12945860034109e-06,5.785378418354184e-07,1.0,1.0,,,,,,,,,,
63,0.065977079656935,1.1397358609176653e-06,5.854379409964767e-07,1.1397358609176653e-06,5.854379409964767e-07,1.0,1.0,,,,,,,,,,
64,0.06843760603379562,1.1530843164592256e-06,5.939659708908645e-07,1.1530843164592256e-06,5.939659708908645e-07,1.0,1.0,,,,,,,,,,
65,0.0709625939614157,1.1650027926984312e-06,6.030127024918188e-07,1.1650027926984312e-06,6.030127024918188e-07,1.0,1.0,,,,,,,,,,
66,0.07355367110884242,1.172828572932941e-06,6.108270534957452e-07,1.172828572932941e-06,6.108270534957452e-07,1.0,1.0,,,,,,,,,,
67,0.07621253975930722,1.1766793633218824e-06,6.182364037576075e-07,1.1766793633218824e-06,6.182364037576075e-07,1.0,1.0,,,,,,,,,,
68,0.07894098848495723,1.1784951196508732e-06,6.256727561821724e-07,1.1784951196508732e-06,6.256727561821724e-07,1.0,1.0,,,,,,,,,,
69,0.08174089307412047,1.1822573344362894e-06,6.329191842543162e-07,1.1822573344362894e-06,6.329191842543162e-07,1.0,1.0,,,,,,,,,,
70,0.08461422594981004,1.189003107789611e-06,6.393633879489631e-07,1.189003107789611e-06,6.393633879489631e-07,1.0,1.0,,,,,,,,,,
71,0.08756306052836295,1.2018566984686143e-06,6.423272412861269e-07,1.2018566984686143e-06,6.423272412861269e-07,1.0,1.0,,,,,,,,,,
72,0.09058957938748749,1.2201568076668027e-06,6.46212833189151e-07,1.2201568076668027e-06,6.46212833189151e-07,1.0,1.0,,,,,,,,,,
73,0.09369607682059071,1.2385810828167277e-06,6.528837218414124e-07,1.2385810828167277e-06,6.528837218414124e-07,1.0,1.0,,,,,,,,,,
74,0.09688495550490013,1.2561259146739912e-06,6.588602180306015e-07,1.2561259146739912e-06,6.588602180306015e-07,1.0,1.0,,,,,,,,,,
75,0.10015873574173721,1.2732634695553877e-06,6.652793807163187e-07,1.2732634695553877e-06,6.652793807163187e-07,1.0,1.0,,,,,,,,,,
76,0.10352006108505911,1.2876760137645496e-06,6.722517112757727e-07,1.2876760137645496e-06,6.722517112757727e-07,1.0,1.0,,,,,,,,,,
77,0.10697170736609694,1.3008752619746618e-06,6.799567581188402e-07,1.3008752619746618e-06,6.799567581188402e-07,1.0,1.0,,,,,,,,,,
78,0.11051659611939643,1.3151314236352398e-06,6.901981060107244e-07,1.3151314236352398e-06,6.901981060107244e-07,1.0,1.0,,,,,,,,,,
79,0.11415779657810098,1.3302042282675788e-06,7.017328443061044e-07,1.3302042282675788e-06,7.017328443061044e-07,1.0,1.0,,,,,,,,,,
80,0.11789852359968517,1.3493261073321446e-06,7.123186727887939e-07,1.3493261073321446e-06,7.123186727887939e-07,1.0,1.0,,,,,0.5,-0.7329077726951361,-0.6150092490954508,6.853026736828641e-06,0.16086406501889675,0.7090122108519561
81,0.12174213874577629,1.3723208730673287e-06,7.219263700238251e-07,1.3723208730673287e-06,7.219263700238251e-07,1.0,1.0,,,,,,,,,,
82,0.12569213019531547,1.393514582336175e-06,7.305007669239497e-07,1.393514582336175e-06,7.305007669239497e-07,1.0,1.0,,,,,,,,,,
