step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1,0.0002289378720861054,7.356813649323977e-08,8.232903793027123e-08,7.356813649323977e-08,8.232903793027123e-08,1.0,1.0,7450.0,8.0,0.003125,0.0125,,,,,,
2,0.0009173170611319616,1.5019682959053445e-07,1.5828236904601835e-07,1.5019682959053445e-07,1.5828236904601835e-07,1.0,1.0,7452.0,8.0,0.003125,0.0125,,,,,,
3,0.0020698625618274947,2.234854099604796e-07,2.3673852791747283e-07,2.234854099604796e-07,2.3673852791747283e-07,1.0,1.0,7456.0,8.0,0.003125,0.0125,,,,,,
4,0.0036945424190339238,2.9426089002742474e-07,3.187213396732269e-07,2.9426089002742474e-07,3.187213396732269e-07,1.0,1.0,7461.0,8.0,0.003125,0.0125,,,,,,
5,0.005802710213397603,3.7506249520528894e-07,3.980963728085128e-07,3.7506249520528894e-07,3.980963728085128e-07,1.0,1.0,7465.0,8.0,0.003125,0.0125,,,,,,
6,0.008409299249987998,4.5288844534617453e-07,4.6741361541368646e-07,4.5288844534617453e-07,4.6741361541368646e-07,1.0,1.0,7473.0,8.0,0.003125,0.0125,,,,,,
7,0.01153307850911673,5.356999458208269e-07,5.175035744704136e-07,5.356999458208269e-07,5.175035744704136e-07,1.0,1.0,7486.0,8.0,0.003125,0.0125,,,,,,
8,0.015196964718866566,6.155938920221106e-07,5.272644165697911e-07,6.155938920221106e-07,5.272644165697911e-07,1.0,1.0,7496.0,8.0,0.003125,0.0125,,,,,,
9,0.019428391269976107,6.824086625982365e-07,5.156077196191771e-07,6.824086625982365e-07,5.156077196191771e-07,1.0,1.0,7507.0,8.0,0.003125,0.0125,,,,,,
10,0.024259716406595057,7.551999743212239e-07,4.871630247078813e-07,7.551999743212239e-07,4.871630247078813e-07,1.0,1.0,7530.0,8.0,0.003125,0.0125,0.25,-0.639273684281693,-0.6150139678750979,0.0,0.03794887385964276,0.7855393286926772
11,0.02972870829560368,8.468204650162333e-07,4.783654525742297e-07,8.468204650162333e-07,4.783654525742297e-07,1.0,1.0,7537.0,8.0,0.003125,0.0125,,,,,,
12,0.03587911868137414,9.49743231579183e-07,5.175510538342987e-07,9.49743231579183e-07,5.175510538342987e-07,1.0,1.0,7580.0,16.0,0.0015625,0.0125,,,,,,
13,0.04276150471654368,1.0391540094886125e-06,5.695713903252832e-07,1.0391540094886125e-06,5.695713903252832e-07,1.0,1.0,7593.0,16.0,0.0015625,0.0125,,,,,,
14,0.050434453539111565,1.0832864417809668e-06,5.817967212083481e-07,1.0832864417809668e-06,5.817967212083481e-07,1.0,1.0,7626.0,16.0,0.0015625,0.0125,,,,,,
