step,kinetic_energy,p_norm,L_norm,dp_abs,dL_abs,dp_rel,dL_rel,active_total,force_evals,dt_min_effective,dt_max_effective,t,PE,E,dE_rel,Q_virial,r_hm
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1,0.0005322284469105874,3.93928875307007e-08,3.4062450624642656e-08,3.93928875307007e-08,3.4062450624642656e-08,1.0,1.0,200.0,1.0,0.025,0.025,,,,,,
2,0.002141399785756891,7.38468323665455e-08,7.019531922630069e-08,7.38468323665455e-08,7.019531922630069e-08,1.0,1.0,200.0,1.0,0.025,0.025,,,,,,
3,0.004864934820786809,1.0534689422866661e-07,1.0595753123157355e-07,1.0534689422866661e-07,1.0595753123157355e-07,1.0,1.0,200.0,1.0,0.025,0.025,,,,,,
4,0.008763253891248516,1.3552652396115704e-07,1.408348691455631e-07,1.3552652396115704e-07,1.408348691455631e-07,1.0,1.0,200.0,1.0,0.025,0.025,,,,,,
5,0.013909245465327178,1.6608008884803053e-07,1.7348130373119122e-07,1.6608008884803053e-07,1.7348130373119122e-07,1.0,1.0,200.0,1.0,0.025,0.025,,,,,,
6,0.020365287691788296,1.9116238540126568e-07,2.069524731318255e-07,1.9116238540126568e-07,2.069524731318255e-07,1.0,1.0,200.0,1.0,0.025,0.025,,,,,,
7,0.02819739929780379,1.1035256184930541e-06,2.896848763267376e-07,1.1035256184930541e-06,2.896848763267376e-07,1.0,1.0,204.0,3.0,0.00625,0.025,,,,,,
8,0.03755488088868994,5.752074400718949e-06,7.654934983917662e-07,5.752074400718949e-06,7.654934983917662e-07,1.0,1.0,203.0,2.0,0.0125,0.025,,,,,,
9,0.04866307542208054,1.643281691476711e-05,1.7037416993032211e-06,1.643281691476711e-05,1.7037416993032211e-06,1.0,1.0,204.0,2.0,0.0125,0.025,,,,,,
10,0.06162857498127048,1.5994628983928614e-05,2.0749088010646187e-06,1.5994628983928614e-05,2.0749088010646187e-06,1.0,1.0,207.0,3.0,0.00625,0.025,0.25,-0.767807600561782,-0.7061790255805115,0.0,0.08026564849863257,0.6838444096171875
11,0.0763784943807347,3.2537389697241575e-05,4.767121545717339e-06,3.2537389697241575e-05,4.767121545717339e-06,1.0,1.0,213.0,3.0,0.00625,0.025,,,,,,
12,0.0930438926955143,4.1165964747751856e-05,1.0393272005492591e-05,4.1165964747751856e-05,1.0393272005492591e-05,1.0,1.0,212.0,3.0,0.00625,0.025,,,,,,
13,0.11190698161592537,7.15604019517232e-05,1.8203470267834922e-05,7.15604019517232e-05,1.8203470267834922e-05,1.0,1.0,215.0,4.0,0.00625,0.025,,,,,,
14,0.13255150766354445,8.884950776524913e-05,1.611428654206731e-05,8.884950776524913e-05,1.611428654206731e-05,1.0,1.0,220.0,4.0,0.00625,0.025,,,,,,
15,0.15386202135138563,0.00011623207685514053,5.0349915766822274e-06,0.00011623207685514053,5.0349915766822274e-06,1.0,1.0,257.0,5.0,0.003125,0.025,,,,,,
16,0.17552300465682572,7.763812338818451e-05,8.592838092718567e-06,7.763812338818451e-05,8.592838092718567e-06,1.0,1.0,269.0,5.0,0.003125,0.025,,,,,,
17,0.20033446501307917,9.07994597556583e-05,1.3089762038473738e-05,9.07994597556583e-05,1.3089762038473738e-05,1.0,1.0,246.0,4.0,0.00625,0.025,,,,,,
18,0.22915246515871004,8.460930375835066e-05,1.7394892319401132e-05,8.460930375835066e-05,1.7394892319401132e-05,1.0,1.0,230.0,3.0,0.00625,0.025,,,,,,
19,0.2528399211707483,0.00016372341175889654,0.00011551853145473413,0.00016372341175889654,0.00011551853145473413,1.0,1.0,241.0,4.0,0.00625,0.025,,,,,,
20,0.2606662902158651,0.0004095422439183729,0.00016754584767617674,0.0004095422439183729,0.00016754584767617674,1.0,1.0,240.0,4.0,0.00625,0.025,0.5,-0.9701184438580287,-0.7094521536421636,0.004634983400932194,0.26869532464430923,0.5672780599263891
21,0.2619399716287142,0.00047624595081834136,0.0002058193349615417,0.00047624595081834136,0.0002058193349615417,1.0,1.0,242.0,4.0,0.00625,0.025,,,,,,
22,0.2682134344389626,0.0005876968067962847,0.0002291100222054238,0.0005876968067962847,0.0002291100222054238,1.0,1.0,232.0,6.0,0.0015625,0.025,,,,,,
23,0.28257605460662427,0.0005842802264956217,0.00023950328918794867,0.0005842802264956217,0.00023950328918794867,1.0,1.0,223.0,3.0,0.00625,0.025,,,,,,
24,0.3046115224356219,0.0006356189963341573,0.0002657629964953852,0.0006356189963341573,0.0002657629964953852,1.0,1.0,228.0,4.0,0.00625,0.025,,,,,,
25,0.3337612538018864,0.0006034735089939791,0.0002804867989639084,0.0006034735089939791,0.0002804867989639084,1.0,1.0,231.0,4.0,0.00625,0.025,,,,,,
26,0.3700373619983439,0.0005571203670909208,0.00030484489440905254,0.0005571203670909208,0.00030484489440905254,1.0,1.0,225.0,2.0,0.0125,0.025,,,,,,
27,0.4150617027360473,0.0005029309896497435,0.00031918933040710814,0.0005029309896497435,0.00031918933040710814,1.0,1.0,225.0,3.0,0.00625,0.025,,,,,,
28,0.4708835541598337,0.000495989986241008,0.0003542444934490077,0.000495989986241008,0.0003542444934490077,1.0,1.0,222.0,4.0,0.00625,0.025,,,,,,
29,0.5385253486346657,0.0004674310263188481,0.00037876502788583517,0.0004674310263188481,0.00037876502788583517,1.0,1.0,226.0,2.0,0.0125,0.025,,,,,,
30,0.6200646870541505,0.0003887453773657949,0.00032604057479220894,0.0003887453773657949,0.00032604057479220894,1.0,1.0,227.0,4.0,0.00625,0.025,0.75,-1.3294830072564898,-0.7094183202023393,0.004587072830667786,0.46639534591247683,0.3999585548030089
31,0.7180169096010368,0.000527424251459289,0.0004050086926401766,0.000527424251459289,0.0004050086926401766,1.0,1.0,224.0,4.0,0.00625,0.025,,,,,,
32,0.818091475564103,0.0009286842399235015,0.00044207500662394076,0.0009286842399235015,0.00044207500662394076,1.0,1.0,234.0,4.0,0.00625,0.025,,,,,,
33,0.8884797007411861,0.0014756780830127028,0.0005548503827130884,0.0014756780830127028,0.0005548503827130884,1.0,1.0,255.0,5.0,0.003125,0.025,,,,,,
34,0.9418398779369113,0.001308125868265732,0.0004910305366719151,0.001308125868265732,0.0004910305366719151,1.0,1.0,245.0,3.0,0.00625,0.025,,,,,,
35,0.9937856646972744,0.0008625783342954703,0.0004850691175304538,0.0008625783342954703,0.0004850691175304538,1.0,1.0,242.0,3.0,0.00625,0.025,,,,,,
36,1.0524978939300251,0.0009186182348154935,0.0005227974766198842,0.0009186182348154935,0.0005227974766198842,1.0,1.0,245.0,4.0,0.00625,0.025,,,,,,
37,1.1263901407057573,0.000843647905631448,0.0005303547510607533,0.000843647905631448,0.0005303547510607533,1.0,1.0,240.0,4.0,0.00625,0.025,,,,,,
38,1.2130378396923651,0.0008085517326238455,0.0005418933574601512,0.0008085517326238455,0.0005418933574601512,1.0,1.0,238.0,4.0,0.00625,0.025,,,,,,
39,1.3238675444914574,0.0007371114020709169,0.0005176321711965302,0.0007371114020709169,0.0005176321711965302,1.0,1.0,236.0,4.0,0.00625,0.025,,,,,,
40,1.4551952767226182,0.0011161217812038645,0.0006109038428126669,0.0011161217812038645,0.0006109038428126669,1.0,1.0,233.0,4.0,0.00625,0.025,1.0,-2.1883410548663464,-0.7331457781437283,0.038186850056965205,0.664976454875081,0.20891031508895339
41,1.5437101212327413,0.0027721650360892597,0.0006364468210661241,0.0027721650360892597,0.0006364468210661241,1.0,1.0,252.0,4.0,0.00625,0.025,,,,,,
42,1.5407980651303428,0.00287029539009725,0.0007902998085275197,0.00287029539009725,0.0007902998085275197,1.0,1.0,268.0,5.0,0.003125,0.025,,,,,,
43,1.5064586928832928,0.0038435617997641482,0.0009348401126603742,0.0038435617997641482,0.0009348401126603742,1.0,1.0,272.0,4.0,0.00625,0.025,,,,,,
44,1.4567773786473068,0.0045211676196456,0.0009128123651280352,0.0045211676196456,0.0009128123651280352,1.0,1.0,259.0,4.0,0.00625,0.025,,,,,,
45,1.3742800307773226,0.0047830807386123435,0.0008882764234425905,0.0047830807386123435,0.0008882764234425905,1.0,1.0,262.0,4.0,0.00625,0.025,,,,,,
46,1.2961881675905562,0.004894268337926583,0.0009171327830442014,0.004894268337926583,0.0009171327830442014,1.0,1.0,252.0,3.0,0.00625,0.025,,,,,,
47,1.232522189097403,0.004466575027252107,0.0008950740354055633,0.004466575027252107,0.0008950740354055633,1.0,1.0,260.0,4.0,0.00625,0.025,,,,,,
48,1.1888075704137189,0.004511082385985589,0.0008800283965038178,0.004511082385985589,0.0008800283965038178,1.0,1.0,245.0,3.0,0.00625,0.025,,,,,,
49,1.1716243638784067,0.004307204174606963,0.0008917873214343788,0.004307204174606963,0.0008917873214343788,1.0,1.0,232.0,4.0,0.00625,0.025,,,,,,
50,1.1761622668426575,0.003926675315484395,0.0008890564593027667,0.003926675315484395,0.0008890564593027667,1.0,1.0,226.0,3.0,0.00625,0.025,1.25,-1.9449901407250398,-0.7688278738823824,0.08871524929584347,0.6047137423556378,0.2150945646719073
51,1.1877198048464261,0.0035647759728292252,0.0008850407489358657,0.0035647759728292252,0.0008850407489358657,1.0,1.0,235.0,4.0,0.00625,0.025,,,,,,
52,1.1905373514923254,0.0032499658064479102,0.0009117887652547699,0.0032499658064479102,0.0009117887652547699,1.0,1.0,234.0,4.0,0.00625,0.025,,,,,,
53,1.1752465275855544,0.0030412574655385447,0.0008949014913097324,0.0030412574655385447,0.0008949014913097324,1.0,1.0,238.0,3.0,0.00625,0.025,,,,,,
54,1.1449504619897857,0.0027410127876265605,0.0009008566933960111,0.0027410127876265605,0.0009008566933960111,1.0,1.0,236.0,5.0,0.003125,0.025,,,,,,
55,1.1215558772912693,0.0026512484734754114,0.000919453124051479,0.0026512484734754114,0.000919453124051479,1.0,1.0,231.0,3.0,0.00625,0.025,,,,,,
56,1.1013485358890636,0.0023516771743596777,0.0009237328091637141,0.0023516771743596777,0.0009237328091637141,1.0,1.0,231.0,4.0,0.00625,0.025,,,,,,
57,1.0731384803927015,0.001679481398237913,0.0009251660524659808,0.001679481398237913,0.0009251660524659808,1.0,1.0,236.0,6.0,0.0015625,0.025,,,,,,
58,1.0391093744807558,0.001971039551870273,0.000933473611589003,0.001971039551870273,0.000933473611589003,1.0,1.0,235.0,3.0,0.00625,0.025,,,,,,
59,0.9885152495920562,0.0020136416637446964,0.0009340224319198568,0.0020136416637446964,0.0009340224319198568,1.0,1.0,253.0,4.0,0.00625,0.025,,,,,,
60,0.9357721041422776,0.0020161249130098116,0.0009295919515013721,0.0020161249130098116,0.0009295919515013721,1.0,1.0,251.0,4.0,0.00625,0.025,1.5,-1.722463538598652,-0.7866914344563743,0.11401132851500081,0.5432754210307381,0.25396771367472715
61,0.8969720301538823,0.0020887976514621896,0.0009206754584591889,0.0020887976514621896,0.0009206754584591889,1.0,1.0,239.0,5.0,0.003125,0.025,,,,,,
62,0.8633592521626648,0.002079091608437346,0.0009505719638938061,0.002079091608437346,0.0009505719638938061,1.0,1.0,234.0,5.0,0.003125,0.025,,,,,,
63,0.8305062731927558,0.0020627131692786634,0.0009395261568040693,0.0020627131692786634,0.0009395261568040693,1.0,1.0,241.0,4.0,0.00625,0.025,,,,,,
