run,t,KE,PE,E,dE_rel
dt020,0.31416,4.988167960028608e-07,-9.987845919584129e-07,-4.999677959555521e-07,0.0
dt020,0.62832,4.954118981512416e-07,-9.952884166339848e-07,-4.998765184827433e-07,0.00018256670439020093
dt020,0.94248,4.901919693433694e-07,-9.899325016076277e-07,-4.997405322642582e-07,0.000454556659713527
dt020,1.25664,4.83752674019132e-07,-9.833318503599906e-07,-4.995791763408586e-07,0.0007772892931049726
dt020,1.5708,4.7678355529838386e-07,-9.761957805528222e-07,-4.994122252544383e-07,0.0011112129733314843
dt020,1.88496,4.699761777906054e-07,-9.692327402230705e-07,-4.992565624324652e-07,0.0014225586704591613
dt020,2.1991199999999997,4.6395292676200963e-07,-9.630776357559483e-07,-4.991247089939387e-07,0.001686282533462107
dt020,2.51328,4.59222157089481e-07,-9.582470457942303e-07,-4.990248887047493e-07,0.001885935971137321
dt020,2.82744,4.56156111371416e-07,-9.55118016161826e-07,-4.989619047904099e-07,0.002011911913685694
dt020,3.1416,4.549836542631528e-07,-9.539218233106334e-07,-4.989381690474806e-07,0.0020593864572889878
dt020,3.4557599999999997,4.5578977043531484e-07,-9.54744238237574e-07,-4.989544678022591e-07,0.0020267868480534582
dt020,3.76992,4.5851617874931574e-07,-9.57526447031812e-07,-4.990102682824963e-07,0.001915178699111557
dt020,4.08408,4.629608635966558e-07,-9.620643709181867e-07,-4.991035073215309e-07,0.001728688609572079
dt020,4.3982399999999995,4.6877803665206647e-07,-9.68007937939611e-07,-4.992299012875446e-07,0.001475884394908374
dt020,4.7124,4.754835813501338e-07,-9.748655234580358e-07,-4.99381942107902e-07,0.0011717831676146045
dt020,5.02656,4.824737215794843e-07,-9.820216702246345e-07,-4.995479486451503e-07,0.0008397487074130274
dt020,5.34072,4.890651607559249e-07,-9.887769536432774e-07,-4.997117928873525e-07,0.0005120391158600573
dt020,5.65488,4.945614700631179e-07,-9.944155105335167e-07,-4.998540404703988e-07,0.00022752562479725976
dt020,5.96904,4.983420716801213e-07,-9.982970174711105e-07,-4.999549457909892e-07,2.570198454142119e-05
dt020,6.2832,4.999585466957064e-07,-9.999574141680876e-07,-4.999988674723812e-07,6.21470364299784e-05
dt050,0.25132,4.998763456681423e-07,-9.998758499073238e-07,-4.999995042391815e-07,0.0
dt050,0.50264,4.995134838741046e-07,-9.995115354631707e-07,-4.999980515890661e-07,2.905303111554888e-06
dt050,0.75396,4.989351209450158e-07,-9.98930863793722e-07,-4.999957428487063e-07,7.522788409589756e-06
